r_fighter,b_fighter,r_kd,b_kd,r_sig_str,b_sig_str,r_sig_str_per,b_sig_str_per,r_total_str,b_total_str,r_td,b_td,r_td_per,b_td_per,r_sub_att,b_sub_att,r_rev,b_rev,r_ctrl,b_ctrl,r_sig_head,b_sig_head,r_sig_body,b_sig_body,r_sig_leg,b_sig_leg,r_distance,b_distance,r_clinch,b_clinch,r_ground,b_ground,date,winner,title_bout,win_con,weight_class,num_rounds,round_length,fight_length,r_str_acc,b_str_acc,r_distance_acc,b_distance_acc,r_head_acc,b_head_acc,r_body_acc,b_body_acc,r_leg_acc,b_leg_acc,r_ground_acc,b_ground_acc,r_clinch_acc
Kamaru Usman,Gilbert Burns,2,0,83,45,0.61,0.41,93,55,0,0,0.0,0.0,0,0,0,0,125,0,56,18,11,13,16,14,54,44,3,1,26,0,"February 13, 2021",r,True,KO/TKO,Welterweight,3,0,10,0.6241610738255033,0.4435483870967742,0.54,0.4230769230769231,0.5333333333333333,0.24,0.7333333333333333,0.9285714285714286,1.0,0.7368421052631579,0.8125,0.0,0.75
Maycee Barber,Alexa Grasso,0,0,40,38,0.26,0.46,50,95,3,0,0.6,0.0,0,1,0,1,194,310,23,24,14,9,3,5,18,25,20,13,2,0,"February 13, 2021",b,False,Decision - Unanimous,Women's Flyweight,3,5,15,0.30303030303030304,0.5864197530864198,0.15126050420168066,0.4098360655737705,0.17692307692307693,0.42105263157894735,0.7777777777777778,0.6428571428571429,0.75,0.5,1.0,0.0,0.6451612903225806
Kelvin Gastelum,Ian Heinisch,0,0,38,27,0.45,0.4,51,56,6,1,0.42,0.16,0,2,1,1,410,71,20,10,10,6,8,11,28,26,8,0,2,1,"February 13, 2021",r,False,Decision - Unanimous,Middleweight,3,5,15,0.4434782608695652,0.5233644859813084,0.4057971014492754,0.40625,0.3225806451612903,0.23809523809523808,0.7692307692307693,0.5454545454545454,0.8888888888888888,0.7857142857142857,0.5,0.3333333333333333,0.7272727272727273
Ricky Simon,Brian Kelleher,0,0,45,19,0.45,0.26,72,25,6,0,0.66,0.0,1,0,0,0,494,12,25,7,3,4,17,8,29,18,6,1,10,0,"February 13, 2021",r,False,Decision - Unanimous,Featherweight,3,5,15,0.5294117647058824,0.30120481927710846,0.3918918918918919,0.25,0.3424657534246575,0.125,0.75,0.5,0.8095238095238095,0.8888888888888888,0.6666666666666666,0.0,0.6666666666666666
Maki Pitolo,Julian Marquez,0,0,32,41,0.49,0.41,70,61,5,0,0.45,0.0,1,4,1,1,547,114,16,37,12,3,4,1,22,18,7,15,3,8,"February 13, 2021",b,False,Submission,Middleweight,3,4,14,0.6363636363636364,0.4728682170542636,0.4230769230769231,0.25,0.34782608695652173,0.39361702127659576,0.8571428571428571,0.75,0.8,0.5,0.6,0.6666666666666666,0.875
Rodolfo Vieira,Anthony Hernandez,0,0,9,32,0.34,0.64,14,50,4,0,0.4,0.0,0,2,0,1,240,85,9,28,0,4,0,0,7,28,2,4,0,0,"February 13, 2021",b,False,Submission,Middleweight,2,1,6,0.4375,0.684931506849315,0.3333333333333333,0.6086956521739131,0.34615384615384615,0.6222222222222222,0.0,0.8,0.0,0.0,0.0,0.0,1.0
Belal Muhammad,Dhiego Lima,0,0,129,69,0.48,0.33,136,70,1,0,0.1,0.0,0,0,0,0,162,0,109,26,20,17,0,26,118,69,11,0,0,0,"February 13, 2021",r,False,Decision - Unanimous,Welterweight,3,5,15,0.4788732394366197,0.33980582524271846,0.47580645161290325,0.3399014778325123,0.4698275862068966,0.16666666666666666,0.6451612903225806,0.8947368421052632,0.0,0.9285714285714286,0.0,0.0,0.6875
Polyana Viana,Mallory Martin,0,0,4,5,0.25,0.71,71,14,0,1,0.0,1.0,5,0,0,0,18,145,0,1,3,4,1,0,4,5,0,0,0,0,"February 13, 2021",r,False,Submission,Women's Strawweight,1,3,3,0.797752808988764,0.7368421052631579,0.25,0.7142857142857143,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Andre Ewell,Chris Gutierrez,0,1,59,69,0.49,0.54,62,72,1,1,1.0,1.0,1,0,0,0,9,71,15,23,28,14,16,32,59,61,0,8,0,0,"February 13, 2021",b,False,Decision - Unanimous,Catch Weight,3,5,15,0.5,0.549618320610687,0.4957983193277311,0.5258620689655172,0.26785714285714285,0.3898305084745763,0.7,0.6666666666666666,0.6666666666666666,0.6956521739130435,0.0,0.0,0.0
Gabe Green,Philip Rowe,2,0,70,42,0.46,0.48,128,48,2,2,1.0,0.33,1,0,0,2,193,343,36,25,15,8,19,9,51,40,4,1,15,1,"February 13, 2021",r,False,Decision - Unanimous,Welterweight,3,5,15,0.6009389671361502,0.5161290322580645,0.40476190476190477,0.47619047619047616,0.32142857142857145,0.373134328358209,0.75,0.8,0.95,1.0,0.7894736842105263,1.0,0.5714285714285714
Alistair Overeem,Alexander Volkov,0,1,10,54,0.5,0.61,10,54,0,0,0.0,0.0,0,0,0,0,15,11,3,47,2,3,5,4,10,40,0,11,0,3,"February 06, 2021",b,False,KO/TKO,Heavyweight,2,2,7,0.5,0.6136363636363636,0.5,0.6153846153846154,0.23076923076923078,0.5802469135802469,1.0,1.0,1.0,1.0,0.0,0.6,0.0
Cory Sandhagen,Frankie Edgar,1,0,2,2,0.4,0.66,2,2,0,0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,1,1,2,2,0,0,0,0,"February 06, 2021",r,False,KO/TKO,Bantamweight,1,0,0,0.4,0.6666666666666666,0.4,0.6666666666666666,0.3333333333333333,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0
Michael Johnson,Clay Guida,0,0,58,49,0.46,0.55,70,65,0,3,0.0,0.42,0,1,0,0,183,413,52,31,5,12,1,6,47,32,6,14,5,3,"February 06, 2021",b,False,Decision - Unanimous,Lightweight,3,5,15,0.5072463768115942,0.6074766355140186,0.40869565217391307,0.4444444444444444,0.46017699115044247,0.43661971830985913,0.4166666666666667,1.0,1.0,1.0,1.0,1.0,1.0
Alexandre Pantoja,Manel Kape,0,0,74,49,0.49,0.53,77,51,0,2,0.0,0.28,0,0,0,0,24,25,27,36,26,8,21,5,72,49,1,0,1,0,"February 06, 2021",r,False,Decision - Unanimous,Flyweight,3,5,15,0.506578947368421,0.5425531914893617,0.4931506849315068,0.5384615384615384,0.3253012048192771,0.47368421052631576,0.6842105263157895,1.0,0.75,0.7142857142857143,0.5,0.0,1.0
Diego Ferreira,Beneil Dariush,0,0,54,62,0.44,0.53,74,74,0,5,0.0,0.33,0,0,1,0,58,443,43,46,10,10,1,6,45,51,5,3,4,8,"February 06, 2021",b,False,Decision - Split,Lightweight,3,5,15,0.5103448275862069,0.5606060606060606,0.41284403669724773,0.5483870967741935,0.41346153846153844,0.46938775510204084,0.6666666666666666,0.8333333333333334,0.5,1.0,0.5714285714285714,0.4444444444444444,1.0
