r_fighter,b_fighter,r_kd,b_kd,r_sig_str,b_sig_str,r_sig_str_per,b_sig_str_per,r_total_str,b_total_str,r_td,b_td,r_td_per,b_td_per,r_sub_att,b_sub_att,r_rev,b_rev,r_ctrl,b_ctrl,r_sig_head,b_sig_head,r_sig_body,b_sig_body,r_sig_leg,b_sig_leg,r_distance,b_distance,r_clinch,b_clinch,r_ground,b_ground,date,winner,title_bout,win_con,weight_class,num_rounds,round_length,fight_length,r_str_acc,b_str_acc,r_distance_acc,b_distance_acc,r_head_acc,b_head_acc,r_body_acc,b_body_acc,r_leg_acc,b_leg_acc,r_ground_acc,b_ground_acc,r_clinch_acc
Youssef Zalal,Ilia Topuria,0,0,17,13,0.32,0.39,40,30,0,5,0.0,0.55,1,5,3,0,171,482,10,7,4,6,3,0,15,12,2,1,0,0,"October 10, 2020",b,False,Decision - Unanimous,Featherweight,3,5,15,0.47058823529411764,0.4838709677419355,0.3,0.4,0.23255813953488372,0.30434782608695654,0.5714285714285714,0.6,1.0,0.0,0.0,0.0,1.0
Tom Breese,KB Bhullar,1,0,17,2,0.62,0.13,18,2,0,0,0.0,0.0,0,0,0,0,5,0,15,0,0,0,2,2,11,2,0,0,6,0,"October 10, 2020",r,False,KO/TKO,Middleweight,1,1,1,0.6428571428571429,0.125,0.5789473684210527,0.13333333333333333,0.6,0.0,0.0,0.0,1.0,0.5,0.8571428571428571,0.0,0.0
Chris Daukaus,Rodrigo Nascimento,2,0,13,1,0.61,0.25,13,1,0,0,0.0,0.0,0,0,0,0,24,0,13,0,0,0,0,1,6,1,0,0,7,0,"October 10, 2020",r,False,KO/TKO,Heavyweight,1,0,0,0.6190476190476191,0.25,0.5454545454545454,0.25,0.6190476190476191,0.0,0.0,0.0,0.0,1.0,0.7,0.0,0.0
Impa Kasanganay,Joaquin Buckley,0,1,28,29,0.35,0.3,31,29,0,1,0.0,0.5,0,0,0,0,0,63,17,19,5,5,6,5,28,25,0,2,0,2,"October 10, 2020",b,False,KO/TKO,Middleweight,2,2,7,0.36470588235294116,0.30526315789473685,0.35443037974683544,0.2840909090909091,0.265625,0.24050632911392406,0.625,0.5,0.8571428571428571,1.0,0.0,0.6666666666666666,0.0
Ali AlQaisi,Tony Kelley,0,0,29,23,0.43,0.37,58,61,5,0,0.33,0.0,1,4,0,0,360,116,12,11,3,5,14,7,27,21,1,2,1,0,"October 10, 2020",b,False,Decision - Unanimous,Bantamweight,3,5,15,0.5631067961165048,0.5596330275229358,0.4426229508196721,0.3620689655172414,0.2857142857142857,0.2558139534883721,0.5,0.5555555555555556,0.7368421052631579,0.7,0.3333333333333333,0.0,0.3333333333333333
Giga Chikadze,Omar Morales,1,0,65,34,0.41,0.26,69,35,0,0,0.0,0.0,0,0,0,0,29,64,32,23,24,7,9,4,54,34,0,0,11,0,"October 10, 2020",r,False,Decision - Unanimous,Featherweight,3,5,15,0.4233128834355828,0.2692307692307692,0.40298507462686567,0.272,0.27350427350427353,0.2072072072072072,0.8571428571428571,0.6363636363636364,0.75,0.6666666666666666,0.5238095238095238,0.0,0.0
Tracy Cortez,Stephanie Egger,0,0,20,10,0.47,0.31,66,27,3,1,0.6,0.16,0,0,0,1,598,127,11,6,3,0,6,4,9,8,0,2,11,0,"October 10, 2020",r,False,Decision - Unanimous,Women's Bantamweight,3,5,15,0.6055045871559633,0.38571428571428573,0.375,0.27586206896551724,0.39285714285714285,0.25,0.5,0.0,0.75,0.6666666666666666,0.6875,0.0,0.0
Bruno Silva,Tagir Ulanbekov,0,0,47,46,0.41,0.37,59,69,4,5,0.5,0.45,0,0,0,0,141,227,20,38,10,3,17,5,40,45,7,1,0,0,"October 10, 2020",b,False,Decision - Unanimous,Flyweight,3,5,15,0.44029850746268656,0.45394736842105265,0.38461538461538464,0.37815126050420167,0.24691358024691357,0.34545454545454546,0.8333333333333334,0.6,0.8095238095238095,0.7142857142857143,0.0,0.0,0.7
Holly Holm,Irene Aldana,0,0,154,69,0.51,0.37,187,92,5,0,0.35,0.0,0,0,0,0,316,3,81,38,56,12,17,19,140,65,1,4,13,0,"October 03, 2020",r,False,Decision - Unanimous,Women's Bantamweight,5,5,25,0.5467836257309941,0.4380952380952381,0.5147058823529411,0.35911602209944754,0.37850467289719625,0.296875,0.8235294117647058,0.4,0.8947368421052632,0.7037037037037037,0.4642857142857143,0.0,1.0
Yorgan De Castro,Carlos Felipe,0,0,48,78,0.48,0.44,113,88,0,0,0.0,0.0,0,0,0,0,193,88,24,39,8,28,16,11,48,65,0,13,0,0,"October 03, 2020",b,False,Decision - Unanimous,Heavyweight,3,5,15,0.6494252873563219,0.47058823529411764,0.48484848484848486,0.40372670807453415,0.3333333333333333,0.30708661417322836,0.7272727272727273,0.7368421052631579,0.9411764705882353,0.9166666666666666,0.0,0.0,0.0
Germaine de Randamie,Julianna Pena,0,0,37,27,0.4,0.29,57,58,0,3,0.0,0.5,2,0,0,0,48,355,32,19,5,7,0,1,32,18,4,2,1,7,"October 03, 2020",r,False,Submission,Women's Bantamweight,3,3,13,0.4789915966386555,0.464,0.38095238095238093,0.24,0.37209302325581395,0.24050632911392406,1.0,0.7,0.0,0.5,1.0,0.5,0.6666666666666666
Kyler Phillips,Cameron Else,0,0,32,11,0.41,0.36,34,20,2,0,1.0,0.0,0,0,0,0,145,3,22,4,5,6,5,1,13,10,0,0,19,1,"October 03, 2020",r,False,KO/TKO,Bantamweight,2,0,5,0.425,0.46511627906976744,0.3170731707317073,0.35714285714285715,0.3492063492063492,0.2,0.625,0.75,0.7142857142857143,0.5,0.5135135135135135,0.5,0.0
Dequan Townsend,Dusko Todorovic,0,0,13,85,0.31,0.63,21,109,0,1,0.0,0.5,0,0,0,0,18,205,5,66,6,11,2,8,10,39,3,17,0,29,"October 03, 2020",b,False,KO/TKO,Middleweight,2,3,8,0.42857142857142855,0.6526946107784432,0.2631578947368421,0.582089552238806,0.17857142857142858,0.5789473684210527,0.5454545454545454,0.9166666666666666,1.0,1.0,0.0,0.6170212765957447,1.0
Carlos Condit,Court McGee,1,0,88,84,0.38,0.46,88,84,0,0,0.0,0.0,0,0,0,0,2,0,50,9,17,28,21,47,87,84,0,0,1,0,"October 03, 2020",r,False,Decision - Unanimous,Welterweight,3,5,15,0.3826086956521739,0.46153846153846156,0.3815789473684211,0.46153846153846156,0.28901734104046245,0.1232876712328767,0.5,0.5490196078431373,0.9130434782608695,0.8103448275862069,0.5,0.0,0.0
Jordan Williams,Nassourdine Imavov,0,0,30,68,0.3,0.61,62,81,0,1,0.0,0.12,0,4,0,0,144,291,25,50,4,13,1,5,23,48,7,12,0,8,"October 03, 2020",b,False,Decision - Unanimous,Middleweight,3,5,15,0.45255474452554745,0.6428571428571429,0.26136363636363635,0.5783132530120482,0.2840909090909091,0.5555555555555556,0.4444444444444444,0.9285714285714286,1.0,0.8333333333333334,0.0,0.5714285714285714,0.7
Loma Lookboonmee,Jinh Yu Frey,0,0,80,26,0.58,0.42,85,39,0,1,0.0,0.25,0,0,0,0,83,154,27,21,35,4,18,1,42,13,38,13,0,0,"October 03, 2020",r,False,Decision - Unanimous,Women's Strawweight,3,5,15,0.5985915492957746,0.52,0.4883720930232558,0.2765957446808511,0.4426229508196721,0.42857142857142855,0.625,0.5,0.9,0.25,0.0,0.0,0.76
Casey Kenney,Heili Alateng,0,0,109,46,0.41,0.26,109,46,0,0,0.0,0.0,0,0,0,0,0,0,57,26,41,11,11,9,109,46,0,0,0,0,"October 03, 2020",r,False,Decision - Unanimous,Bantamweight,3,5,15,0.4144486692015209,0.26900584795321636,0.41762452107279696,0.26900584795321636,0.296875,0.18571428571428572,0.7068965517241379,0.55,0.8461538461538461,0.8181818181818182,0.0,0.0,0.0
Luigi Vendramini,Jessin Ayari,1,0,13,2,0.56,0.2,14,2,0,0,0.0,0.0,0,0,0,0,2,0,11,1,1,0,1,1,11,2,0,0,2,0,"October 03, 2020",r,False,KO/TKO,Lightweight,1,1,1,0.5833333333333334,0.2,0.6111111111111112,0.2222222222222222,0.5238095238095238,0.125,1.0,0.0,1.0,1.0,0.4,0.0,0.0
Israel Adesanya,Paulo Costa,1,0,55,12,0.65,0.46,55,12,0,0,0.0,0.0,0,0,0,0,9,1,24,2,5,7,26,3,45,12,2,0,8,0,"September 26, 2020",r,True,KO/TKO,Middleweight,2,3,8,0.6547619047619048,0.46153846153846156,0.6338028169014085,0.46153846153846156,0.47058823529411764,0.15384615384615385,0.8333333333333334,0.875,0.9629629629629629,0.6,0.8,0.0,0.6666666666666666
Dominick Reyes,Jan Blachowicz,0,1,21,41,0.41,0.46,21,41,0,0,0.0,0.0,0,0,0,0,0,3,9,25,2,6,10,10,21,37,0,1,0,3,"September 26, 2020",b,True,KO/TKO,Light Heavyweight,2,4,9,0.4117647058823529,0.4606741573033708,0.4117647058823529,0.4457831325301205,0.2571428571428571,0.35714285714285715,0.4,0.6666666666666666,0.9090909090909091,1.0,0.0,0.75,0.0
Kai Kara-France,Brandon Royval,1,2,22,39,0.57,0.54,22,51,0,0,0.0,0.0,0,1,0,0,91,91,12,27,1,7,9,5,21,34,1,4,0,1,"September 26, 2020",b,False,Submission,Flyweight,2,0,5,0.5641025641025641,0.6,0.6,0.53125,0.42857142857142855,0.48214285714285715,1.0,0.7777777777777778,1.0,0.8333333333333334,0.0,1.0,0.3333333333333333
Ketlen Vieira,Sijara Eubanks,0,0,68,69,0.39,0.46,93,72,2,0,0.4,0.0,0,0,0,0,147,39,65,34,3,22,0,13,66,65,2,2,0,2,"September 26, 2020",r,False,Decision - Unanimous,Women's Bantamweight,3,5,15,0.458128078817734,0.47368421052631576,0.3905325443786982,0.45454545454545453,0.3939393939393939,0.3333333333333333,0.5,0.6470588235294118,0.0,1.0,0.0,0.6666666666666666,1.0
Hakeem Dawodu,Zubaira Tukhugov,0,0,69,35,0.5,0.37,70,40,0,1,0.0,0.14,0,0,0,0,0,123,31,31,14,4,24,0,69,34,0,0,0,1,"September 26, 2020",r,False,Decision - Split,Featherweight,3,5,15,0.5109489051094891,0.40816326530612246,0.5073529411764706,0.3695652173913043,0.3875,0.3522727272727273,0.6666666666666666,0.8,0.6857142857142857,0.0,0.0,1.0,0.0
Brad Riddell,Alex Da Silva,0,0,67,54,0.4,0.48,86,70,1,3,0.16,0.33,0,1,0,1,84,317,47,35,13,10,7,9,61,49,5,4,1,1,"September 26, 2020",r,False,Decision - Unanimous,Lightweight,3,5,15,0.4648648648648649,0.5263157894736842,0.3860759493670886,0.4666666666666667,0.33098591549295775,0.38461538461538464,0.8125,0.8333333333333334,0.875,1.0,1.0,1.0,0.7142857142857143
Diego Sanchez,Jake Matthews,0,1,25,72,0.3,0.48,38,93,0,1,0.0,0.5,0,0,0,0,0,292,12,69,4,3,9,0,23,42,0,1,2,29,"September 26, 2020",b,False,Decision - Unanimous,Welterweight,3,5,15,0.4,0.5344827586206896,0.2987012987012987,0.4329896907216495,0.21052631578947367,0.47586206896551725,0.3333333333333333,1.0,0.75,0.0,0.5,0.58,0.0
Shane Young,Ludovit Klein,0,1,4,9,0.57,0.69,4,9,0,0,0.0,0.0,0,0,0,0,0,3,0,6,1,3,3,0,4,8,0,0,0,1,"September 26, 2020",b,False,KO/TKO,Featherweight,1,1,1,0.5714285714285714,0.6923076923076923,0.5714285714285714,0.6666666666666666,0.0,0.6,0.3333333333333333,1.0,0.75,0.0,0.0,1.0,0.0
William Knight,Aleksa Camur,0,0,38,17,0.7,0.56,58,59,4,1,0.8,0.25,1,0,1,0,399,326,29,8,3,8,6,1,10,9,9,8,19,0,"September 26, 2020",r,False,Decision - Unanimous,Light Heavyweight,3,5,15,0.7532467532467533,0.8194444444444444,0.4166666666666667,0.4090909090909091,0.725,0.4444444444444444,0.5,0.7272727272727273,0.75,1.0,0.9047619047619048,0.0,1.0
Juan Espino,Jeff Hughes,0,0,10,0,0.58,0.0,21,0,5,0,0.71,0.0,1,0,0,0,156,0,9,0,1,0,0,0,2,0,0,0,8,0,"September 26, 2020",r,False,Submission,Heavyweight,1,3,3,0.7241379310344828,0.0,0.2857142857142857,0.0,0.6428571428571429,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.0
Khadis Ibragimov,Danilo Marques,0,0,19,16,0.41,0.72,36,19,0,4,0.0,0.25,1,0,1,0,90,436,16,7,1,6,2,3,12,15,3,0,4,1,"September 26, 2020",b,False,Decision - Unanimous,Light Heavyweight,3,5,15,0.5538461538461539,0.7307692307692307,0.32432432432432434,0.75,0.37209302325581395,0.5833333333333334,1.0,0.8571428571428571,1.0,1.0,0.6666666666666666,1.0,1.0
Colby Covington,Tyron Woodley,0,0,78,34,0.54,0.4,232,67,3,1,0.37,1.0,0,0,0,0,721,14,47,14,22,15,9,5,43,26,19,8,16,0,"September 19, 2020",r,False,KO/TKO,Welterweight,5,1,21,0.7459807073954984,0.5775862068965517,0.42574257425742573,0.35135135135135137,0.44339622641509435,0.2413793103448276,0.7857142857142857,0.75,1.0,1.0,0.7272727272727273,0.0,0.95
Khamzat Chimaev,Gerald Meerschaert,1,0,4,0,0.66,0.0,4,0,0,0,0.0,0.0,0,0,0,0,2,0,3,0,1,0,0,0,2,0,0,0,2,0,"September 19, 2020",r,False,KO/TKO,Middleweight,1,0,0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
Johnny Walker,Ryan Spann,0,2,26,7,0.86,0.53,30,10,0,2,0.0,1.0,0,0,1,0,40,106,24,7,1,0,1,0,4,3,0,0,22,4,"September 19, 2020",r,False,KO/TKO,Light Heavyweight,1,2,2,0.8823529411764706,0.625,0.8,0.42857142857142855,0.8888888888888888,0.5384615384615384,0.5,0.0,1.0,0.0,0.88,0.6666666666666666,0.0
Mackenzie Dern,Randa Markos,0,0,9,3,0.69,0.6,11,7,0,0,0.0,0.0,5,0,1,0,105,96,6,3,2,0,1,0,2,3,0,0,7,0,"September 19, 2020",r,False,Submission,Women's Strawweight,1,3,3,0.6470588235294118,0.7,0.3333333333333333,0.6,0.6,0.6,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Kevin Holland,Darren Stewart,0,0,74,57,0.57,0.51,163,97,0,3,0.0,0.37,0,0,0,0,215,249,54,26,9,6,11,25,62,33,11,6,1,18,"September 19, 2020",r,False,Decision - Split,Middleweight,3,5,15,0.7309417040358744,0.610062893081761,0.5535714285714286,0.4782608695652174,0.5346534653465347,0.35135135135135137,0.6923076923076923,0.8571428571428571,0.7333333333333333,0.8620689655172413,0.5,0.5454545454545454,0.7333333333333333
Jordan Espinosa,David Dvorak,0,0,50,68,0.3,0.46,50,69,0,0,0.0,0.0,0,0,0,0,0,4,16,30,14,8,20,30,47,61,3,7,0,0,"September 19, 2020",b,False,Decision - Unanimous,Flyweight,3,5,15,0.30864197530864196,0.46938775510204084,0.30128205128205127,0.45185185185185184,0.13445378151260504,0.3333333333333333,0.7,0.42105263157894735,0.8695652173913043,0.8108108108108109,0.0,0.0,0.5
Mirsad Bektic,Damon Jackson,0,0,13,12,0.61,0.46,76,20,7,0,0.77,0.0,0,7,0,1,564,56,9,10,1,2,3,0,4,2,0,3,9,7,"September 19, 2020",b,False,Submission,Featherweight,3,1,11,0.7450980392156863,0.5882352941176471,0.4,0.16666666666666666,0.5625,0.43478260869565216,0.5,0.6666666666666666,1.0,0.0,0.9,0.6363636363636364,0.0
Mayra Bueno Silva,Mara Romero Borella,0,0,2,6,0.28,0.66,3,15,0,1,0.0,0.5,1,0,0,0,0,120,1,5,0,0,1,1,2,4,0,0,0,2,"September 19, 2020",r,False,Submission,Women's Flyweight,1,2,2,0.375,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.2,0.7142857142857143,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Jessica-Rose Clark,Sarah Alpar,0,0,76,12,0.71,0.4,124,26,1,2,1.0,0.18,0,0,0,0,498,208,66,3,9,3,1,6,15,12,25,0,36,0,"September 19, 2020",r,False,KO/TKO,Women's Bantamweight,3,4,14,0.7085714285714285,0.5909090909090909,0.5,0.4,0.6947368421052632,0.2,0.9,0.5,1.0,0.6666666666666666,0.7659574468085106,0.0,0.8620689655172413
Darrick Minner,TJ Laramie,0,0,15,0,0.88,0.0,18,0,0,0,0.0,0.0,1,0,0,0,7,23,1,0,13,0,1,0,2,0,13,0,0,0,"September 19, 2020",r,False,Submission,Featherweight,1,0,0,0.9,0.0,0.5,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Journey Newson,Randy Costa,0,1,1,4,0.2,0.66,1,4,0,0,0.0,0.0,0,0,0,0,0,2,1,4,0,0,0,0,1,2,0,0,0,2,"September 19, 2020",b,False,KO/TKO,Bantamweight,1,0,0,0.2,0.6666666666666666,0.2,0.5,0.25,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Andre Ewell,Irwin Rivera,0,0,123,81,0.41,0.46,124,85,0,1,0.0,0.11,0,0,0,1,48,18,78,49,36,14,9,18,119,74,4,1,0,6,"September 19, 2020",r,False,Decision - Split,Bantamweight,3,5,15,0.4119601328903654,0.4722222222222222,0.4061433447098976,0.45121951219512196,0.34513274336283184,0.3656716417910448,0.5625,0.5833333333333334,1.0,1.0,0.0,0.75,0.6666666666666666
Tyson Nam,Jerome Rivera,1,0,36,30,0.5,0.37,36,31,0,0,0.0,0.0,0,0,0,0,23,0,27,9,7,2,2,19,18,29,3,1,15,0,"September 19, 2020",r,False,KO/TKO,Bantamweight,2,0,5,0.5,0.38271604938271603,0.3829787234042553,0.3670886075949367,0.46551724137931033,0.2,0.5833333333333334,0.18181818181818182,1.0,0.7916666666666666,0.6818181818181818,0.0,1.0
Michelle Waterson,Angela Hill,0,0,128,131,0.39,0.5,162,146,1,0,0.05,0.0,0,0,0,0,243,130,65,82,40,45,23,4,110,105,13,25,5,1,"September 12, 2020",r,False,Decision - Split,Women's Strawweight,5,5,25,0.4487534626038781,0.5251798561151079,0.36666666666666664,0.45454545454545453,0.2777777777777778,0.422680412371134,0.6779661016949152,0.7142857142857143,0.7419354838709677,1.0,0.7142857142857143,1.0,0.7647058823529411
Ottman Azaitar,Khama Worthy,0,0,16,1,0.72,0.11,16,1,0,0,0.0,0.0,0,0,0,0,6,0,12,0,4,1,0,0,3,1,6,0,7,0,"September 12, 2020",r,False,KO/TKO,Lightweight,1,1,1,0.7272727272727273,0.1111111111111111,0.6,0.125,0.6666666666666666,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.6
Roxanne Modafferi,Andrea Lee,0,0,60,97,0.35,0.51,129,118,4,3,0.57,0.75,0,0,0,2,289,97,56,50,2,23,2,24,57,89,0,5,3,3,"September 12, 2020",r,False,Decision - Unanimous,Women's Flyweight,3,5,15,0.48314606741573035,0.5619047619047619,0.34545454545454546,0.5,0.345679012345679,0.390625,0.4,0.6388888888888888,1.0,0.96,1.0,1.0,0.0
Ed Herman,Mike Rodriguez,0,2,40,89,0.54,0.71,51,114,2,0,0.5,0.0,1,0,1,0,249,196,14,42,16,30,10,17,19,34,21,48,0,7,"September 12, 2020",r,False,Submission,Light Heavyweight,3,2,12,0.6071428571428571,0.7651006711409396,0.4418604651162791,0.6181818181818182,0.34146341463414637,0.6363636363636364,0.7619047619047619,0.8108108108108109,0.9090909090909091,0.8095238095238095,0.0,0.5,0.7241379310344828
Bobby Green,Alan Patrick,0,0,61,19,0.64,0.27,109,38,4,1,0.66,0.16,0,0,0,0,451,103,41,8,18,7,2,4,35,18,17,0,9,1,"September 12, 2020",r,False,Decision - Unanimous,Lightweight,3,5,15,0.7315436241610739,0.42696629213483145,0.5555555555555556,0.2647058823529412,0.5540540540540541,0.16,0.9473684210526315,0.4666666666666667,1.0,1.0,0.6428571428571429,1.0,0.9444444444444444
Billy Quarantillo,Kyle Nelson,1,0,79,56,0.52,0.49,112,62,2,0,0.33,0.0,0,0,0,0,208,87,52,40,15,13,12,3,69,43,10,10,0,3,"September 12, 2020",r,False,KO/TKO,Featherweight,3,0,10,0.6054054054054054,0.5166666666666667,0.5073529411764706,0.45263157894736844,0.4444444444444444,0.43956043956043955,0.7142857142857143,0.65,1.0,1.0,0.0,1.0,0.7692307692307693
Julia Avila,Sijara Eubanks,0,0,34,53,0.39,0.49,66,107,1,3,1.0,0.42,0,3,0,1,114,612,26,46,4,7,4,0,32,25,1,0,1,28,"September 12, 2020",b,False,Decision - Unanimous,Women's Bantamweight,3,5,15,0.515625,0.6257309941520468,0.3855421686746988,0.38461538461538464,0.34210526315789475,0.46938775510204084,0.5714285714285714,0.7777777777777778,1.0,0.0,1.0,0.6829268292682927,0.3333333333333333
Alexandr Romanov,Roque Martinez,0,0,55,7,0.37,0.46,60,29,4,0,1.0,0.0,2,0,0,0,495,0,47,3,8,0,0,4,4,6,1,1,50,0,"September 12, 2020",r,False,Submission,Heavyweight,2,4,9,0.375,0.7073170731707317,0.8,0.5,0.3381294964028777,0.3,1.0,0.0,0.0,0.8,0.3546099290780142,0.0,1.0
Brok Weaver,Jalin Turner,0,2,56,66,0.7,0.43,60,70,1,1,0.16,1.0,0,1,1,0,28,107,17,42,14,17,25,7,48,47,6,6,2,13,"September 12, 2020",b,False,Submission,Catch Weight,2,4,9,0.7058823529411765,0.44871794871794873,0.6857142857142857,0.3821138211382114,0.5,0.34146341463414637,0.7368421052631579,0.7727272727272727,0.9259259259259259,1.0,1.0,0.65,0.75
Bryan Barberena,Anthony Ivy,0,0,63,36,0.5,0.42,175,54,0,5,0.0,0.2,2,0,0,0,117,350,49,26,10,10,4,0,40,19,18,11,5,6,"September 12, 2020",r,False,Decision - Unanimous,Welterweight,3,5,15,0.7,0.5142857142857142,0.449438202247191,0.3584905660377358,0.44545454545454544,0.3611111111111111,0.9090909090909091,0.8333333333333334,0.8,0.0,0.7142857142857143,0.6,0.6
Sabina Mazo,Justine Kish,1,0,131,93,0.47,0.44,131,94,0,1,0.0,0.33,1,0,0,0,14,32,45,25,27,23,59,45,123,88,8,4,0,1,"September 12, 2020",r,False,Submission,Women's Flyweight,3,3,13,0.4763636363636364,0.44339622641509435,0.4659090909090909,0.44221105527638194,0.2848101265822785,0.211864406779661,0.7105263157894737,0.6052631578947368,0.7468354430379747,0.8333333333333334,0.0,0.3333333333333333,0.8
Alistair Overeem,Augusto Sakai,0,0,92,99,0.8,0.57,106,120,3,0,1.0,0.0,0,0,0,0,329,142,53,66,30,25,9,8,28,62,16,35,48,2,"September 05, 2020",r,False,KO/TKO,Heavyweight,5,0,20,0.8091603053435115,0.6122448979591837,0.6511627906976745,0.4881889763779528,0.726027397260274,0.5076923076923077,0.967741935483871,0.7352941176470589,0.9,0.8888888888888888,0.8727272727272727,0.6666666666666666,1.0
Ovince Saint Preux,Alonzo Menifield,1,0,33,19,0.41,0.47,33,21,0,0,0.0,0.0,0,0,0,0,3,36,12,12,17,3,4,4,33,17,0,2,0,0,"September 05, 2020",r,False,KO/TKO,Light Heavyweight,2,4,9,0.4125,0.4883720930232558,0.4125,0.4473684210526316,0.2727272727272727,0.3870967741935484,0.5483870967741935,0.6,0.8,1.0,0.0,0.0,0.0
Michel Pereira,Zelim Imadaev,0,0,88,23,0.57,0.25,88,24,1,0,1.0,0.0,1,0,0,0,11,8,39,10,38,6,11,7,82,22,6,1,0,0,"September 05, 2020",r,False,Submission,Welterweight,3,4,14,0.5714285714285714,0.26373626373626374,0.5655172413793104,0.2558139534883721,0.4105263157894737,0.136986301369863,0.8444444444444444,0.6,0.8461538461538461,1.0,0.0,0.0,0.75
Andre Muniz,Bartosz Fabinski,0,0,4,5,0.5,0.62,19,11,0,1,0.0,0.5,2,0,0,0,2,146,2,3,2,2,0,0,2,1,2,4,0,0,"September 05, 2020",r,False,Submission,Middleweight,1,2,2,0.8260869565217391,0.6875,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Brian Kelleher,Ray Rodriguez,0,0,1,1,0.33,0.2,1,1,0,1,0.0,1.0,1,0,0,0,0,12,0,0,0,0,1,1,1,1,0,0,0,0,"September 05, 2020",r,False,Submission,Featherweight,1,0,0,0.3333333333333333,0.2,0.3333333333333333,0.2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Viviane Araujo,Montana De La Rosa,0,0,82,85,0.58,0.39,91,88,0,1,0.0,0.16,0,0,0,0,12,36,57,57,12,12,13,16,80,76,2,9,0,0,"September 05, 2020",r,False,Decision - Unanimous,Women's Flyweight,3,5,15,0.6066666666666667,0.4,0.583941605839416,0.37623762376237624,0.504424778761062,0.3220338983050847,0.9230769230769231,0.5714285714285714,0.9285714285714286,0.9411764705882353,0.0,0.0,0.6666666666666666
Cole Smith,Hunter Azure,0,1,31,42,0.38,0.75,69,75,2,5,0.4,0.62,3,0,0,0,193,482,16,29,8,5,7,8,20,24,5,5,6,13,"September 05, 2020",b,False,Decision - Unanimous,Bantamweight,3,5,15,0.5702479338842975,0.8333333333333334,0.29850746268656714,0.6857142857142857,0.37209302325581395,0.6744186046511628,0.32,1.0,0.5384615384615384,1.0,1.0,0.9285714285714286,0.625
Anthony Smith,Aleksandar Rakic,0,1,9,44,0.42,0.77,40,141,0,0,0.0,0.0,0,0,0,0,36,734,5,16,0,7,4,21,6,25,1,2,2,17,"August 29, 2020",b,False,Decision - Unanimous,Light Heavyweight,3,5,15,0.7547169811320755,0.8867924528301887,0.42857142857142855,0.7352941176470589,0.3125,0.5714285714285714,0.0,0.875,1.0,1.0,0.4,0.8095238095238095,0.5
Robbie Lawler,Neil Magny,0,0,26,62,0.57,0.7,41,116,0,4,0.0,0.57,0,0,1,0,93,494,18,36,4,21,4,5,15,39,6,16,5,7,"August 29, 2020",b,False,Decision - Unanimous,Welterweight,3,5,15,0.6612903225806451,0.8055555555555556,0.45454545454545453,0.6190476190476191,0.5,0.5901639344262295,0.8,0.9545454545454546,1.0,1.0,0.8333333333333334,1.0,1.0
Ji Yeon Kim,Alexa Grasso,0,0,68,88,0.36,0.48,85,123,0,1,0.0,0.5,0,0,0,0,46,127,61,51,4,19,3,18,65,81,3,3,0,4,"August 29, 2020",b,False,Decision - Unanimous,Women's Flyweight,3,5,15,0.41262135922330095,0.5590909090909091,0.3532608695652174,0.46551724137931033,0.3446327683615819,0.3805970149253731,0.6666666666666666,0.8260869565217391,0.6,0.72,0.0,0.8,0.75
Ricardo Lamas,Bill Algeo,0,0,104,89,0.66,0.52,127,145,5,1,0.45,1.0,0,0,1,0,373,79,64,57,20,22,20,10,62,71,14,16,28,2,"August 29, 2020",r,False,Decision - Unanimous,Featherweight,3,5,15,0.7055555555555556,0.6473214285714286,0.5740740740740741,0.4896551724137931,0.6037735849056604,0.4596774193548387,0.8,0.6875,0.8,0.8333333333333334,0.8484848484848485,1.0,0.9333333333333333
Maki Pitolo,Impa Kasanganay,0,0,71,85,0.41,0.42,72,86,0,0,0.0,0.0,0,0,0,0,16,15,54,68,13,12,4,5,71,82,0,3,0,0,"August 29, 2020",b,False,Decision - Unanimous,Middleweight,3,5,15,0.41379310344827586,0.4321608040201005,0.4127906976744186,0.43157894736842106,0.3829787234042553,0.4146341463414634,0.48148148148148145,0.41379310344827586,0.8,1.0,0.0,0.0,0.0
Alessio Di Chirico,Zak Cummings,0,1,53,54,0.33,0.38,53,54,0,0,0.0,0.0,0,0,0,0,0,0,33,34,12,11,8,9,52,54,1,0,0,0,"August 29, 2020",b,False,Decision - Unanimous,Middleweight,3,5,15,0.3375796178343949,0.38848920863309355,0.3333333333333333,0.391304347826087,0.25984251968503935,0.2956521739130435,0.5454545454545454,0.7333333333333333,1.0,1.0,0.0,0.0,1.0
