r_fighter,b_fighter,r_kd,b_kd,r_sig_str,b_sig_str,r_sig_str_per,b_sig_str_per,r_total_str,b_total_str,r_td,b_td,r_td_per,b_td_per,r_sub_att,b_sub_att,r_rev,b_rev,r_ctrl,b_ctrl,r_sig_head,b_sig_head,r_sig_body,b_sig_body,r_sig_leg,b_sig_leg,r_distance,b_distance,r_clinch,b_clinch,r_ground,b_ground,winner,title_bout,win_con,weight_class,num_rounds,round_length,r_str_acc,b_str_acc,r_distance_acc,b_distance_acc,r_head_acc,b_head_acc,r_body_acc,b_body_acc,r_leg_acc,b_leg_acc,r_ground_acc,b_ground_acc,r_clinch_acc
Ashlee Evans-Smith,Veronica Macedo,0,0,73,23,0.63,0.56,114,34,2 of 5,0 of 0,0.4,0.0,0,0,0,0,361,109,0.5714285714285714,0.1111111111111111,1.0,1.0,1.0,0.0,4,3,1,0,23,0,r,False,KO/TKO,Women's Bantamweight,3,2,0.7037037037037037,0.6296296296296297,0.3076923076923077,0.2727272727272727,0.5714285714285714,0.1111111111111111,1.0,1.0,1.0,0.0,0.7931034482758621,0.0,1.0
Taylor Lapilus,Leandro Issa,0,0,63,19,0.43,0.31,84,23,0 of 0,3 of 14,0.0,0.21,0,0,0,0,58,391,0.43478260869565216,0.3333333333333333,1.0,0.5,0.0,0.0,14,2,8,1,0,0,r,False,Decision - Unanimous,Bantamweight,3,5,0.5,0.3382352941176471,0.3684210526315789,0.3333333333333333,0.43478260869565216,0.3333333333333333,1.0,0.5,0.0,0.0,0.0,0.0,0.8
Scott Askham,Jack Hermansson,0,0,37,88,0.34,0.56,49,121,0 of 3,1 of 6,0.0,0.16,2,0,0,0,105,196,0.23076923076923078,0.5925925925925926,0.5555555555555556,1.0,1.0,1.0,1,14,8,17,0,1,b,False,Decision - Unanimous,Middleweight,3,5,0.4083333333333333,0.6368421052631579,0.1111111111111111,0.7,0.23076923076923078,0.5925925925925926,0.5555555555555556,1.0,1.0,1.0,0.0,0.5,0.5714285714285714
Rustam Khabilov,Leandro Silva,0,0,24,29,0.29,0.34,49,40,2 of 10,0 of 2,0.2,0.0,0,0,0,0,232,13,0.15789473684210525,0.14285714285714285,0.3333333333333333,0.75,0.6666666666666666,0.0,5,8,0,2,1,0,r,False,Decision - Unanimous,Lightweight,3,5,0.44144144144144143,0.42105263157894735,0.22727272727272727,0.24242424242424243,0.15789473684210525,0.14285714285714285,0.3333333333333333,0.75,0.6666666666666666,0.0,1.0,0.0,0.0
Demian Maia,Carlos Condit,0,0,1,1,1.0,0.16,5,1,1 of 1,0 of 0,1.0,0.0,1,0,0,0,79,0,1.0,0.2,0.0,0.0,0.0,0.0,0,1,0,0,1,0,r,False,Submission,Welterweight,1,1,1.0,0.16666666666666666,0.0,0.2,1.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Anthony Pettis,Charles Oliveira,0,0,53,41,0.6,0.47,77,60,0 of 0,4 of 11,0.0,0.36,1,0,5,0,191,297,0.75,0.5,0.0,0.5,0.0,0.0,3,2,0,0,0,1,r,False,Submission,Featherweight,3,1,0.6754385964912281,0.5714285714285714,0.6,0.4,0.75,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0
Paige VanZant,Bec Rawlings,1,0,25,21,0.39,0.41,27,30,0 of 0,0 of 0,0.0,0.0,0,0,0,0,15,0,0.6666666666666666,0.0,0.0,0.0,0.5,0.0,2,0,0,0,7,0,r,False,KO/TKO,Women's Strawweight,2,0,0.4153846153846154,0.5,0.5,0.0,0.6666666666666666,0.0,0.0,0.0,0.5,0.0,0.6363636363636364,0.0,0.0
Joe Lauzon,Jim Miller,0,0,54,80,0.39,0.48,92,97,3 of 4,0 of 3,0.75,0.0,1,0,0,0,372,8,0.375,0.4666666666666667,0.6666666666666666,0.75,1.0,1.0,10,15,3,10,2,0,b,False,Decision - Split,Lightweight,3,5,0.519774011299435,0.5243243243243243,0.3448275862068966,0.4838709677419355,0.375,0.4666666666666667,0.6666666666666666,0.75,1.0,1.0,0.5,0.0,1.0
Sam Alvey,Kevin Casey,2,0,59,25,0.51,0.49,70,31,0 of 0,0 of 2,0.0,0.0,0,0,0,0,31,156,0.4189189189189189,0.3076923076923077,0.75,0.75,0.8571428571428571,1.0,26,12,1,0,13,0,r,False,KO/TKO,Middleweight,2,4,0.56,0.5344827586206896,0.4262295081967213,0.3870967741935484,0.4189189189189189,0.3076923076923077,0.75,0.75,0.8571428571428571,1.0,0.5652173913043478,0.0,1.0
Enrique Barzola,Kyle Bochniak,0,0,55,41,0.33,0.29,56,41,1 of 9,1 of 3,0.11,0.33,0,0,0,0,18,27,0.34782608695652173,0.1568627450980392,0.7777777777777778,0.5,1.0,1.0,21,15,3,2,0,0,b,False,Decision - Split,Featherweight,3,5,0.3333333333333333,0.2887323943661972,0.39622641509433965,0.2542372881355932,0.34782608695652173,0.1568627450980392,0.7777777777777778,0.5,1.0,1.0,0.0,0.0,1.0
Garreth McLellan,Alessio Di Chirico,0,1,57,61,0.41,0.44,88,114,2 of 8,2 of 6,0.25,0.33,0,0,0,0,223,186,0.2222222222222222,0.56,0.5,0.3333333333333333,0.0,0.0,6,9,3,6,0,0,b,False,Decision - Split,Middleweight,3,5,0.49162011173184356,0.5757575757575758,0.20689655172413793,0.47368421052631576,0.2222222222222222,0.56,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.75
Shane Campbell,Felipe Silva,0,1,9,11,0.69,0.44,10,13,0 of 0,0 of 0,0.0,0.0,0,0,0,0,0,4,0.25,0.3157894736842105,0.5,0.8,1.0,1.0,8,6,1,3,0,2,b,False,KO/TKO,Lightweight,1,1,0.7142857142857143,0.48148148148148145,0.6666666666666666,0.46153846153846156,0.25,0.3157894736842105,0.5,0.8,1.0,1.0,0.0,0.2857142857142857,1.0
Chad Laprise,Thibault Gouti,2,0,17,4,0.48,0.25,22,4,0 of 0,0 of 0,0.0,0.0,0,0,0,0,30,0,0.45161290322580644,0.14285714285714285,0.0,0.0,1.0,1.0,10,4,2,0,5,0,r,False,KO/TKO,Lightweight,1,1,0.55,0.25,0.47619047619047616,0.25,0.45161290322580644,0.14285714285714285,0.0,0.0,1.0,1.0,0.5555555555555556,0.0,0.4
Jeremy Kennedy,Alex Ricci,0,0,27,28,0.38,0.46,43,83,5 of 14,0 of 2,0.35,0.0,0,0,0,0,670,88,0.4,0.3333333333333333,0.25,0.3333333333333333,1.0,1.0,1,1,2,2,1,0,r,False,Decision - Unanimous,Lightweight,3,5,0.4574468085106383,0.7033898305084746,0.25,0.5,0.4,0.3333333333333333,0.25,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666
Nate Diaz,Conor McGregor,0,3,166,164,0.48,0.57,252,197,1 of 7,0 of 1,0.14,0.0,0,0,0,0,350,91,0.375,0.6206896551724138,0.6363636363636364,0.75,0.0,0.75,4,17,14,7,1,0,b,False,Decision - Majority,Welterweight,5,5,0.5793103448275863,0.6118012422360248,0.18181818181818182,0.5862068965517241,0.375,0.6206896551724138,0.6363636363636364,0.75,0.0,0.75,0.3333333333333333,0.0,0.7368421052631579
Anthony Johnson,Glover Teixeira,1,0,4,1,0.5,0.33,4,1,0 of 0,0 of 0,0.0,0.0,0,0,0,0,1,0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,2,1,0,0,2,0,r,False,KO/TKO,Light Heavyweight,1,0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Rick Story,Donald Cerrone,0,1,17,45,0.33,0.61,19,48,1 of 5,1 of 1,0.2,1.0,0,1,0,0,102,43,0.0,0.5517241379310345,0.3333333333333333,1.0,1.0,1.0,2,19,0,3,0,5,b,False,KO/TKO,Welterweight,2,2,0.35185185185185186,0.631578947368421,0.14285714285714285,0.6333333333333333,0.0,0.5517241379310345,0.3333333333333333,1.0,1.0,1.0,0.0,0.8333333333333334,0.0
Hyun Gyu Lim,Mike Perry,0,3,8,31,0.27,0.62,8,50,0 of 0,0 of 0,0.0,0.0,0,0,0,0,0,88,0.2857142857142857,0.5526315789473685,0.0,0.6,0.0,1.0,8,16,0,0,0,15,b,False,KO/TKO,Welterweight,1,3,0.27586206896551724,0.7246376811594203,0.27586206896551724,0.5925925925925926,0.2857142857142857,0.5526315789473685,0.0,0.6,0.0,1.0,0.0,0.6818181818181818,0.0
Tim Means,Sabah Homasi,0,0,71,33,0.6,0.41,82,38,0 of 0,2 of 2,0.0,1.0,0,0,0,0,8,61,0.6792452830188679,0.23809523809523808,0.875,0.0,1.0,1.0,32,4,12,2,0,0,r,False,KO/TKO,Welterweight,2,2,0.6307692307692307,0.4318181818181818,0.6666666666666666,0.2,0.6792452830188679,0.23809523809523808,0.875,0.0,1.0,1.0,0.0,0.0,0.8571428571428571
Cody Garbrandt,Takeya Mizugaki,1,0,12,4,0.44,0.44,13,6,0 of 0,0 of 0,0.0,0.0,0,0,0,0,7,0,0.4,0.42857142857142855,0.0,0.0,1.0,0.5,6,4,1,0,5,0,r,False,KO/TKO,Bantamweight,1,0,0.4642857142857143,0.5454545454545454,0.4,0.4444444444444444,0.4,0.42857142857142855,0.0,0.0,1.0,0.5,0.45454545454545453,0.0,1.0
Raquel Pennington,Elizabeth Phillips,0,0,33,15,0.66,0.44,81,34,3 of 5,1 of 5,0.6,0.2,1,0,0,1,305,399,0.42857142857142855,0.3333333333333333,0.5,0.0,1.0,0.0,3,2,1,0,1,0,r,False,Decision - Unanimous,Women's Bantamweight,3,5,0.7941176470588235,0.5862068965517241,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.3333333333333333,0.5,0.0,1.0,0.0,1.0,0.0,0.5
Artem Lobov,Chris Avila,0,0,53,42,0.45,0.32,63,63,0 of 1,0 of 1,0.0,0.0,0,0,0,0,33,22,0.1111111111111111,0.2777777777777778,0.6666666666666666,0.2,0.7142857142857143,1.0,10,12,1,1,0,1,r,False,Decision - Unanimous,Featherweight,3,5,0.4921875,0.42,0.35714285714285715,0.3157894736842105,0.1111111111111111,0.2777777777777778,0.6666666666666666,0.2,0.7142857142857143,1.0,0.0,0.5,0.3333333333333333
Randa Markos,Cortney Casey,0,0,4,21,0.23,0.58,38,29,1 of 1,0 of 0,1.0,0.0,0,1,1,1,112,84,0.25,0.5333333333333333,0.0,0.5,0.0,1.0,3,9,1,1,0,11,b,False,Submission,Women's Strawweight,1,4,0.7450980392156863,0.6590909090909091,0.1875,0.42857142857142855,0.25,0.5333333333333333,0.0,0.5,0.0,1.0,0.0,0.7857142857142857,1.0
Neil Magny,Lorenz Larkin,0,1,8,32,0.34,0.66,13,34,0 of 5,0 of 0,0.0,0.0,0,0,0,0,3,58,0.25,0.52,1.0,0.8571428571428571,1.0,0.8125,6,22,2,10,0,0,b,False,KO/TKO,Welterweight,1,4,0.4482758620689655,0.68,0.2857142857142857,0.5789473684210527,0.25,0.52,1.0,0.8571428571428571,1.0,0.8125,0.0,0.0,1.0
Colby Covington,Max Griffin,0,0,26,13,0.56,0.37,161,33,6 of 9,0 of 0,0.66,0.0,0,1,0,1,610,7,0.6666666666666666,0.25,0.0,0.0,0.0,1.0,2,1,0,1,2,0,r,False,KO/TKO,Welterweight,3,2,0.7453703703703703,0.5689655172413793,0.5,0.25,0.6666666666666666,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Alberto Uda,Marvin Vettori,0,0,4,10,0.44,0.71,21,50,1 of 2,1 of 1,0.5,1.0,0,1,0,0,212,26,0.375,0.7142857142857143,1.0,0.0,0.0,0.0,1,2,0,0,3,8,b,False,Submission,Middleweight,1,4,0.7777777777777778,0.7352941176470589,0.2,0.5,0.375,0.7142857142857143,1.0,0.0,0.0,0.0,0.75,0.8,0.0
Yair Rodriguez,Alex Caceres,0,0,120,62,0.35,0.31,124,65,1 of 2,1 of 1,0.5,1.0,0,0,0,0,31,99,0.2602739726027397,0.3404255319148936,0.5,0.8333333333333334,0.9,1.0,28,20,1,2,0,0,r,False,Decision - Split,Featherweight,5,5,0.36151603498542273,0.3217821782178218,0.34146341463414637,0.4,0.2602739726027397,0.3404255319148936,0.5,0.8333333333333334,0.9,1.0,0.0,0.0,0.5
Dennis Bermudez,Rony Jason,0,0,48,9,0.5,0.21,77,16,5 of 10,0 of 0,0.5,0.0,0,0,1,0,426,52,0.34782608695652173,0.25,0.4,0.0,1.0,0.0,9,3,1,1,7,0,r,False,Decision - Unanimous,Featherweight,3,5,0.6062992125984252,0.3333333333333333,0.3333333333333333,0.1875,0.34782608695652173,0.25,0.4,0.0,1.0,0.0,1.0,0.0,1.0
Thales Leites,Chris Camozzi,0,0,36,8,0.67,0.53,58,11,5 of 11,0 of 0,0.45,0.0,1,0,0,0,681,22,0.5714285714285714,0.5714285714285714,0.0,1.0,0.0,0.0,0,4,0,1,4,0,r,False,Submission,Middleweight,3,2,0.7073170731707317,0.6111111111111112,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0
Santiago Ponzinibbio,Zak Cummings,0,0,58,35,0.46,0.23,60,35,0 of 0,1 of 5,0.0,0.2,0,0,0,0,0,9,0.35714285714285715,0.2,1.0,0.75,0.6666666666666666,1.0,23,15,0,0,0,0,r,False,Decision - Unanimous,Welterweight,3,5,0.46875,0.23026315789473684,0.38333333333333336,0.25,0.35714285714285715,0.2,1.0,0.75,0.6666666666666666,1.0,0.0,0.0,0.0
Trevor Smith,Joseph Gigliotti,1,0,42,15,0.6,0.48,105,24,4 of 6,1 of 1,0.66,1.0,2,1,0,0,766,58,0.65,0.4666666666666667,0.0,0.0,0.0,0.0,1,4,1,2,11,1,r,False,Decision - Unanimous,Middleweight,3,5,0.7664233576642335,0.6,0.2,0.4444444444444444,0.65,0.4666666666666667,0.0,0.0,0.0,0.0,0.7857142857142857,0.5,1.0
Maryna Moroz,Danielle Taylor,0,0,17,17,0.06,0.16,17,17,0 of 0,1 of 1,0.0,1.0,0,0,0,0,0,1,0.07692307692307693,0.08108108108108109,0.3333333333333333,0.0,1.0,0.25,8,4,0,0,0,0,r,False,Decision - Split,Women's Strawweight,3,5,0.06772908366533864,0.16666666666666666,0.0975609756097561,0.09523809523809523,0.07692307692307693,0.08108108108108109,0.3333333333333333,0.0,1.0,0.25,0.0,0.0,0.0
Court McGee,Dominique Steele,0,0,15,23,0.38,0.35,55,45,4 of 15,0 of 1,0.26,0.0,1,0,0,0,426,92,0.25,0.30434782608695654,1.0,0.5,1.0,0.0,2,5,2,4,0,0,r,False,Decision - Unanimous,Welterweight,3,5,0.6707317073170732,0.5113636363636364,0.25,0.25,0.25,0.30434782608695654,1.0,0.5,1.0,0.0,0.0,0.0,1.0
Viktor Pesta,Marcin Tybura,0,1,3,15,0.07,0.24,4,20,0 of 2,0 of 0,0.0,0.0,0,0,0,0,29,15,0.0,0.1111111111111111,0.0,0.0,0.0,1.0,0,2,0,0,0,0,b,False,KO/TKO,Heavyweight,2,0,0.09302325581395349,0.29850746268656714,0.0,0.2,0.0,0.1111111111111111,0.0,0.0,0.0,1.0,0.0,0.0,0.0
David Teymur,Jason Novelli,1,0,26,8,0.42,0.28,26,9,0 of 1,0 of 0,0.0,0.0,0,0,0,0,2,23,0.5714285714285714,0.2,0.0,1.0,1.0,0.0,6,2,0,0,0,0,r,False,KO/TKO,Lightweight,2,1,0.4262295081967213,0.3103448275862069,0.6666666666666666,0.4,0.5714285714285714,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Teruto Ishihara,Horacio Gutierrez,1,0,13,5,0.52,0.27,13,5,0 of 1,0 of 0,0.0,0.0,0,0,0,0,6,0,0.4117647058823529,0.07142857142857142,0.6,0.0,1.0,1.0,8,5,0,0,5,0,r,False,KO/TKO,Featherweight,1,2,0.52,0.2777777777777778,0.42105263157894735,0.2777777777777778,0.4117647058823529,0.07142857142857142,0.6,0.0,1.0,1.0,0.8333333333333334,0.0,0.0
