r_fighter,b_fighter,r_kd,b_kd,r_sig_str,b_sig_str,r_sig_str_per,b_sig_str_per,r_total_str,b_total_str,r_td,b_td,r_td_per,b_td_per,r_sub_att,b_sub_att,r_rev,b_rev,r_ctrl,b_ctrl,r_sig_head,b_sig_head,r_sig_body,b_sig_body,r_sig_leg,b_sig_leg,r_distance,b_distance,r_clinch,b_clinch,r_ground,b_ground,winner,title_bout,win_con,weight_class,num_rounds,round_length,r_str_acc,b_str_acc,r_distance_acc,b_distance_acc,r_head_acc,b_head_acc,r_body_acc,b_body_acc,r_leg_acc,b_leg_acc,r_ground_acc,b_ground_acc,r_clinch_acc
Michael Chiesa,Neil Magny,0,0,24,12,0.46,0.24,93,52,4 of 6,1 of 3,0.66,0.33,0,1,0,0,921,135,0.375,0.0,0.0,1.0,0.0,0.0,1,1,0,0,2,0,r,False,Decision - Unanimous,Welterweight,5,5,0.744,0.5416666666666666,0.2,0.125,0.375,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0
Warlley Alves,Mounir Lazzez,1,0,17,2,0.8,1.0,24,2,1 of 1,0 of 0,1.0,0.0,0,0,0,0,96,42,0.75,1.0,0.875,1.0,1.0,0.0,7,0,4,2,6,0,r,False,KO/TKO,Welterweight,1,2,0.8,1.0,0.7777777777777778,0.0,0.75,1.0,0.875,1.0,1.0,0.0,1.0,0.0,0.6666666666666666
Ike Villanueva,Vinicius Moreira,1,0,24,24,0.42,0.57,24,24,0 of 0,0 of 0,0.0,0.0,0,0,0,0,0,0,0.5,0.25,0.0,0.0,0.0,0.5,3,2,0,0,0,0,r,False,KO/TKO,Light Heavyweight,2,0,0.42857142857142855,0.5714285714285714,0.5,0.25,0.5,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Roxanne Modafferi,Viviane Araujo,0,0,46,86,0.25,0.43,49,100,0 of 5,4 of 4,0.0,1.0,0,1,0,0,39,186,0.24,0.40425531914893614,0.5,1.0,0.0,0.0,12,19,1,1,0,0,b,False,Decision - Unanimous,Women's Flyweight,3,5,0.2538860103626943,0.4672897196261682,0.24,0.4318181818181818,0.24,0.40425531914893614,0.5,1.0,0.0,0.0,0.0,0.0,0.5
Matt Schnell,Tyson Nam,0,0,85,58,0.39,0.3,85,58,0 of 0,0 of 0,0.0,0.0,0,0,0,0,0,0,0.4,0.19402985074626866,0.8,0.6666666666666666,0.5,0.8333333333333334,31,22,2,0,0,0,r,False,Decision - Split,Flyweight,3,5,0.397196261682243,0.3005181347150259,0.41333333333333333,0.27848101265822783,0.4,0.19402985074626866,0.8,0.6666666666666666,0.5,0.8333333333333334,0.0,0.0,1.0
Lerone Murphy,Douglas Silva de Andrade,0,0,48,39,0.41,0.36,60,51,1 of 4,1 of 2,0.25,0.5,0,0,0,0,111,81,0.325,0.30303030303030304,1.0,0.8571428571428571,1.0,0.3333333333333333,11,12,2,5,5,0,r,False,Decision - Unanimous,Featherweight,3,5,0.4580152671755725,0.4214876033057851,0.3548387096774194,0.3157894736842105,0.325,0.30303030303030304,1.0,0.8571428571428571,1.0,0.3333333333333333,0.5,0.0,0.5
Omari Akhmedov,Tom Breese,0,0,25,1,0.65,0.25,73,6,2 of 5,0 of 1,0.4,0.0,1,3,0,1,274,60,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,r,False,Submission,Middleweight,2,1,0.8021978021978022,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricky Simon,Gaetano Pirrello,0,0,17,6,0.53,0.42,50,10,7 of 10,0 of 0,0.7,0.0,1,0,0,0,419,0,0.5,0.42857142857142855,1.0,0.0,0.0,1.0,0,3,1,1,5,0,r,False,Submission,Bantamweight,2,4,0.7246376811594203,0.5555555555555556,0.0,0.5,0.5,0.42857142857142855,1.0,0.0,0.0,1.0,1.0,0.0,1.0
Su Mudaerji,Zarrukh Adashev,0,0,50,28,0.39,0.22,50,28,0 of 0,0 of 1,0.0,0.0,0,0,0,0,0,2,0.25,0.13157894736842105,0.5,0.14285714285714285,0.75,0.5,18,8,0,0,0,0,r,False,Decision - Unanimous,Flyweight,3,5,0.3937007874015748,0.22764227642276422,0.36,0.16326530612244897,0.25,0.13157894736842105,0.5,0.14285714285714285,0.75,0.5,0.0,0.0,0.0
Dalcha Lungiambula,Markus Perez,0,0,29,25,0.44,0.51,61,50,1 of 2,0 of 1,0.5,0.0,0,1,0,0,406,261,0.125,0.35714285714285715,0.6666666666666666,0.8181818181818182,0.0,0.0,3,9,3,5,0,0,r,False,Decision - Unanimous,Middleweight,3,5,0.6224489795918368,0.6666666666666666,0.1875,0.5,0.125,0.35714285714285715,0.6666666666666666,0.8181818181818182,0.0,0.0,0.0,0.0,0.5
Francisco Figueiredo,Jerome Rivera,0,0,29,31,0.54,0.23,39,85,4 of 6,0 of 5,0.66,0.0,0,0,0,1,427,67,0.25,0.15384615384615385,1.0,0.42857142857142855,0.75,0.42857142857142855,6,10,2,4,0,0,r,False,Decision - Unanimous,Flyweight,3,5,0.6,0.4271356783919598,0.375,0.18518518518518517,0.25,0.15384615384615385,1.0,0.42857142857142855,0.75,0.42857142857142855,0.0,0.0,1.0
Mike Davis,Mason Jones,0,0,108,117,0.52,0.37,111,132,3 of 9,1 of 4,0.33,0.25,0,0,0,0,50,51,0.36363636363636365,0.27,0.7083333333333334,0.6470588235294118,1.0,1.0,33,36,4,4,0,0,r,False,Decision - Unanimous,Lightweight,3,5,0.5285714285714286,0.4012158054711246,0.5076923076923077,0.3333333333333333,0.36363636363636365,0.27,0.7083333333333334,0.6470588235294118,1.0,1.0,0.0,0.0,0.5714285714285714
Umar Nurmagomedov,Sergey Morozov,0,0,25,7,0.6,0.23,32,8,5 of 11,0 of 0,0.45,0.0,1,0,0,0,177,8,0.7857142857142857,0.16666666666666666,0.25,0.5,1.0,1.0,8,4,5,0,1,0,r,False,Submission,Bantamweight,2,3,0.6666666666666666,0.25806451612903225,0.5714285714285714,0.4,0.7857142857142857,0.16666666666666666,0.25,0.5,1.0,1.0,1.0,0.0,1.0
Victoria Leonardo,Manon Fiorot,0,0,17,53,0.2,0.53,18,58,0 of 1,1 of 1,0.0,1.0,0,0,0,0,2,85,0.15,0.4473684210526316,0.0,0.5,0.6666666666666666,0.6666666666666666,7,20,0,0,0,1,b,False,KO/TKO,Women's Flyweight,2,4,0.21951219512195122,0.5523809523809524,0.2413793103448276,0.5,0.15,0.4473684210526316,0.0,0.5,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0
Max Holloway,Calvin Kattar,0,0,445,133,0.59,0.47,447,134,0 of 1,0 of 2,0.0,0.0,0,0,0,0,27,5,0.4666666666666667,0.4166666666666667,0.9047619047619048,0.4,1.0,0.8,84,26,0,0,0,0,r,False,Decision - Unanimous,Featherweight,5,5,0.599195710455764,0.47183098591549294,0.5915492957746479,0.4482758620689655,0.4666666666666667,0.4166666666666667,0.9047619047619048,0.4,1.0,0.8,0.0,0.0,0.0
Carlos Condit,Matt Brown,0,0,39,28,0.44,0.75,157,37,2 of 4,1 of 6,0.5,0.16,0,0,1,0,292,366,0.5263157894736842,1.0,0.5,1.0,1.0,0.0,5,1,5,3,2,4,r,False,Decision - Unanimous,Welterweight,3,5,0.7511961722488039,0.7115384615384616,0.3333333333333333,1.0,0.5263157894736842,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0
Santiago Ponzinibbio,Li Jingliang,0,1,11,21,0.61,0.42,11,21,0 of 0,0 of 0,0.0,0.0,0,0,0,0,0,2,0.5,0.2,0.0,0.5,1.0,0.8571428571428571,11,20,0,0,0,1,b,False,KO/TKO,Welterweight,1,4,0.6111111111111112,0.42,0.6111111111111112,0.40816326530612246,0.5,0.2,0.0,0.5,1.0,0.8571428571428571,0.0,1.0,0.0
Joaquin Buckley,Alessio Di Chirico,0,1,3,12,0.13,0.52,3,12,0 of 0,0 of 0,0.0,0.0,0,0,0,0,0,1,0.10526315789473684,0.35294117647058826,0.3333333333333333,1.0,0.0,1.0,3,9,0,0,0,3,b,False,KO/TKO,Middleweight,1,2,0.13636363636363635,0.5217391304347826,0.13636363636363635,0.45,0.10526315789473684,0.35294117647058826,0.3333333333333333,1.0,0.0,1.0,0.0,1.0,0.0
Punahele Soriano,Dusko Todorovic,2,0,30,22,0.45,0.38,32,23,0 of 1,0 of 0,0.0,0.0,0,0,0,0,38,4,0.4166666666666667,0.30612244897959184,0.8,0.875,1.0,0.0,21,18,4,4,5,0,r,False,KO/TKO,Middleweight,1,4,0.463768115942029,0.3898305084745763,0.4117647058823529,0.33962264150943394,0.4166666666666667,0.30612244897959184,0.8,0.875,1.0,0.0,0.5,0.0,0.8
Wu Yanan,Joselyne Edwards,0,0,58,88,0.44,0.49,70,111,1 of 2,0 of 3,0.5,0.0,0,1,1,1,229,69,0.41379310344827586,0.2765957446808511,0.3333333333333333,0.5769230769230769,0.4,0.7,24,41,4,1,0,0,b,False,Decision - Unanimous,Women's Bantamweight,3,5,0.47297297297297297,0.5388349514563107,0.3870967741935484,0.45555555555555555,0.41379310344827586,0.2765957446808511,0.3333333333333333,0.5769230769230769,0.4,0.7,0.0,0.0,0.5714285714285714
Carlos Felipe,Justin Tafa,0,0,77,86,0.54,0.58,77,109,0 of 1,0 of 2,0.0,0.0,0,0,0,0,41,113,0.5526315789473685,0.5,0.8571428571428571,0.8333333333333334,0.0,0.5,27,16,6,10,0,0,r,False,Decision - Split,Heavyweight,3,5,0.5422535211267606,0.6374269005847953,0.5869565217391305,0.4444444444444444,0.5526315789473685,0.5,0.8571428571428571,0.8333333333333334,0.0,0.5,0.0,0.0,1.0
David Zawada,Ramazan Emeev,0,0,44,53,0.38,0.52,114,101,1 of 1,4 of 9,1.0,0.44,0,0,0,1,126,268,0.42105263157894735,0.6666666666666666,0.0,1.0,0.6666666666666666,0.5,8,12,2,0,0,2,b,False,Decision - Split,Welterweight,3,5,0.6,0.63125,0.42105263157894735,0.631578947368421,0.42105263157894735,0.6666666666666666,0.0,1.0,0.6666666666666666,0.5,0.0,1.0,0.6666666666666666
Sarah Moras,Vanessa Melo,0,0,44,56,0.22,0.33,44,56,0 of 1,0 of 0,0.0,0.0,0,0,0,0,0,4,0.01818181818181818,0.28888888888888886,0.5,0.5,1.0,1.0,15,16,0,0,0,0,b,False,Decision - Unanimous,Women's Bantamweight,3,5,0.22,0.33136094674556216,0.2112676056338028,0.32653061224489793,0.01818181818181818,0.28888888888888886,0.5,0.5,1.0,1.0,0.0,0.0,0.0
Jacob Kilburn,Austin Lingo,0,1,64,95,0.31,0.52,78,110,1 of 18,1 of 2,0.05,0.5,1,0,0,0,69,228,0.288135593220339,0.45652173913043476,0.5,0.75,0.8333333333333334,1.0,22,25,1,0,1,0,b,False,Decision - Unanimous,Featherweight,3,5,0.3611111111111111,0.5583756345177665,0.3333333333333333,0.5,0.288135593220339,0.45652173913043476,0.5,0.75,0.8333333333333334,1.0,0.5,0.0,1.0
Stephen Thompson,Geoff Neal,0,0,171,85,0.42,0.47,191,110,0 of 0,0 of 0,0.0,0.0,0,0,0,0,0,226,0.37735849056603776,0.543859649122807,1.0,0.5,1.0,1.0,48,31,1,2,0,0,r,False,Decision - Unanimous,Welterweight,5,5,0.4462616822429907,0.5365853658536586,0.42105263157894735,0.543859649122807,0.37735849056603776,0.543859649122807,1.0,0.5,1.0,1.0,0.0,0.0,1.0
Jose Aldo,Marlon Vera,0,0,44,46,0.62,0.56,60,92,0 of 2,0 of 3,0.0,0.0,0,0,0,0,297,171,1.0,0.5,0.0,0.0,0.0,1.0,1,1,0,1,0,0,r,False,Decision - Unanimous,Bantamweight,3,5,0.6976744186046512,0.6917293233082706,0.5,0.5,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Michel Pereira,Khaos Williams,0,0,44,55,0.55,0.43,56,62,2 of 2,0 of 0,1.0,0.0,1,0,0,0,81,36,0.5238095238095238,0.32142857142857145,0.5,0.6666666666666666,0.0,0.6666666666666666,9,19,3,2,2,0,r,False,Decision - Unanimous,Welterweight,3,5,0.5957446808510638,0.4626865671641791,0.42857142857142855,0.4523809523809524,0.5238095238095238,0.32142857142857145,0.5,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,0.75
Marlon Moraes,Rob Font,0,1,9,30,0.75,0.81,12,33,2 of 3,0 of 0,0.66,0.0,0,0,0,1,151,38,0.8,0.7941176470588235,0.5,1.0,0.0,0.0,8,13,0,1,1,16,b,False,KO/TKO,Bantamweight,1,3,0.75,0.8048780487804879,0.8888888888888888,0.7222222222222222,0.8,0.7941176470588235,0.5,1.0,0.0,0.0,0.3333333333333333,0.8888888888888888,0.0
Marcin Tybura,Greg Hardy,0,0,51,50,0.5,0.54,60,50,1 of 4,0 of 0,0.25,0.0,0,0,0,0,87,2,0.4727272727272727,0.2608695652173913,0.8333333333333334,1.0,1.0,1.0,17,11,0,1,18,0,r,False,KO/TKO,Heavyweight,2,4,0.5405405405405406,0.5494505494505495,0.4473684210526316,0.39285714285714285,0.4727272727272727,0.2608695652173913,0.8333333333333334,1.0,1.0,1.0,0.6666666666666666,0.0,0.0
Anthony Pettis,Alex Morono,0,0,50,31,0.62,0.39,80,50,0 of 1,1 of 5,0.0,0.2,0,0,1,0,272,150,0.75,0.3333333333333333,1.0,0.0,1.0,1.0,11,3,0,0,1,0,r,False,Decision - Unanimous,Welterweight,3,5,0.6956521739130435,0.49019607843137253,0.8461538461538461,0.375,0.75,0.3333333333333333,1.0,0.0,1.0,1.0,0.5,0.0,0.0
Sijara Eubanks,Pannie Kianzad,0,0,49,92,0.47,0.64,70,132,2 of 4,0 of 2,0.5,0.0,0,0,0,0,393,134,0.43478260869565216,0.5428571428571428,0.42857142857142855,0.9166666666666666,1.0,1.0,33,55,1,6,0,0,b,False,Decision - Unanimous,Women's Bantamweight,3,5,0.5343511450381679,0.7058823529411765,0.4520547945205479,0.625,0.43478260869565216,0.5428571428571428,0.42857142857142855,0.9166666666666666,1.0,1.0,0.0,0.0,0.25
Deron Winn,Antonio Arroyo,0,0,20,45,0.52,0.72,64,70,12 of 16,0 of 0,0.75,0.0,0,0,0,0,569,28,0.375,0.38461538461538464,0.6666666666666666,1.0,0.0,1.0,5,9,0,0,0,1,r,False,Decision - Unanimous,Catch Weight,3,5,0.7191011235955056,0.8045977011494253,0.45454545454545453,0.5294117647058824,0.375,0.38461538461538464,0.6666666666666666,1.0,0.0,1.0,0.0,1.0,0.0
Gillian Robertson,Taila Santos,0,0,9,27,0.64,0.72,42,72,0 of 2,1 of 1,0.0,1.0,1,1,0,0,61,767,1.0,0.5,1.0,0.6666666666666666,0.0,0.0,2,1,0,0,0,8,b,False,Decision - Unanimous,Women's Flyweight,3,5,0.875,0.8470588235294118,1.0,0.125,1.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.8888888888888888,0.0
Tafon Nchukwi,Jamie Pickett,1,0,120,40,0.64,0.49,159,40,0 of 2,1 of 4,0.0,0.25,0,0,0,0,171,34,0.6590909090909091,0.3,0.9333333333333333,0.0,1.0,0.0,23,6,17,0,4,0,r,False,Decision - Unanimous,Middleweight,3,5,0.6794871794871795,0.49382716049382713,0.6388888888888888,0.3157894736842105,0.6590909090909091,0.3,0.9333333333333333,0.0,1.0,0.0,0.6666666666666666,0.0,0.9444444444444444
Jimmy Flick,Cody Durden,0,0,6,21,0.42,0.65,7,30,0 of 1,2 of 2,0.0,1.0,1,0,0,0,0,81,0.5714285714285714,0.6071428571428571,0.0,1.0,0.3333333333333333,1.0,6,17,0,2,0,2,r,False,Submission,Flyweight,1,3,0.4666666666666667,0.6976744186046512,0.42857142857142855,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.0,1.0,0.3333333333333333,1.0,0.0,1.0,0.0
Christos Giagos,Carlton Minus,0,0,31,28,0.46,0.35,76,29,5 of 15,0 of 0,0.33,0.0,0,0,0,0,537,0,0.2857142857142857,0.32608695652173914,0.5,0.42857142857142855,1.0,0.5,11,19,1,0,0,0,r,False,Decision - Unanimous,Catch Weight,3,5,0.6129032258064516,0.35802469135802467,0.34375,0.35185185185185186,0.2857142857142857,0.32608695652173914,0.5,0.42857142857142855,1.0,0.5,0.0,0.0,1.0
Tony Ferguson,Charles Oliveira,0,0,19,41,0.45,0.65,26,86,0 of 0,3 of 3,0.0,1.0,0,3,0,0,5,699,0.6666666666666666,0.6666666666666666,0.0,0.75,0.0,0.6666666666666666,2,4,0,0,0,9,b,False,Decision - Unanimous,Lightweight,3,5,0.5306122448979592,0.7678571428571429,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0,0.75,0.0,0.6666666666666666,0.0,0.9,0.0
Mackenzie Dern,Virna Jandiroba,0,0,82,63,0.47,0.47,101,80,0 of 5,1 of 1,0.0,1.0,0,0,0,0,154,164,0.4807692307692308,0.38181818181818183,0.8,0.5,0.0,0.0,26,20,2,4,1,0,r,False,Decision - Unanimous,Women's Strawweight,3,5,0.517948717948718,0.5263157894736842,0.5,0.36363636363636365,0.4807692307692308,0.38181818181818183,0.8,0.5,0.0,0.0,1.0,0.0,0.5
Kevin Holland,Jacare Souza,0,0,15,2,0.83,1.0,21,2,0 of 0,2 of 3,0.0,0.66,0,0,0,0,2,87,0.8235294117647058,1.0,0.0,0.0,1.0,0.0,1,0,2,0,12,2,r,False,KO/TKO,Middleweight,1,1,0.875,1.0,0.5,0.0,0.8235294117647058,1.0,0.0,0.0,1.0,0.0,0.8571428571428571,1.0,1.0
Junior Dos Santos,Ciryl Gane,0,1,10,59,0.28,0.73,11,61,0 of 1,0 of 0,0.0,0.0,0,0,0,0,0,25,0.09090909090909091,0.5,0.0,0.625,0.0,0.8461538461538461,1,17,0,3,0,2,b,False,KO/TKO,Heavyweight,2,2,0.3055555555555556,0.7439024390243902,0.08333333333333333,0.6071428571428571,0.09090909090909091,0.5,0.0,0.625,0.0,0.8461538461538461,0.0,1.0,0.0
Cub Swanson,Daniel Pineda,2,0,46,21,0.69,0.46,51,40,1 of 1,1 of 2,1.0,0.5,0,1,0,0,94,35,0.8,0.2727272727272727,0.75,1.0,0.0,0.3333333333333333,14,5,0,0,1,0,r,False,KO/TKO,Featherweight,2,1,0.7183098591549296,0.6153846153846154,0.7777777777777778,0.3333333333333333,0.8,0.2727272727272727,0.75,1.0,0.0,0.3333333333333333,1.0,0.0,0.0
Renato Moicano,Rafael Fiziev,0,1,15,21,0.4,0.6,15,21,0 of 1,0 of 1,0.0,0.0,0,0,0,0,0,4,0.3125,0.3888888888888889,1.0,0.7,1.0,1.0,14,20,1,0,0,1,b,False,KO/TKO,Lightweight,1,4,0.40540540540540543,0.6,0.4,0.5882352941176471,0.3125,0.3888888888888889,1.0,0.7,1.0,1.0,0.0,1.0,0.5
Gavin Tucker,Billy Quarantillo,0,0,106,84,0.63,0.47,123,136,7 of 13,0 of 3,0.53,0.0,0,0,0,0,314,25,0.5454545454545454,0.22580645161290322,0.5,0.7142857142857143,1.0,0.5,12,5,2,8,1,0,r,False,Decision - Unanimous,Featherweight,3,5,0.6721311475409836,0.5836909871244635,0.5454545454545454,0.20833333333333334,0.5454545454545454,0.22580645161290322,0.5,0.7142857142857143,1.0,0.5,1.0,0.0,0.5
Tecia Torres,Sam Hughes,0,0,52,20,0.5,0.37,52,26,1 of 1,0 of 1,1.0,0.0,0,0,0,0,15,51,0.38028169014084506,0.2727272727272727,0.7647058823529411,0.6666666666666666,0.8,0.5294117647058824,50,19,2,1,0,0,r,False,TKO - Doctor's Stoppage,Women's Strawweight,1,5,0.5048543689320388,0.4406779661016949,0.49504950495049505,0.36538461538461536,0.38028169014084506,0.2727272727272727,0.7647058823529411,0.6666666666666666,0.8,0.5294117647058824,0.0,0.0,1.0
Chase Hooper,Peter Barrett,0,0,57,48,0.48,0.55,81,61,0 of 6,0 of 0,0.0,0.0,2,0,0,0,44,65,0.625,0.3333333333333333,0.5,0.0,0.75,0.6666666666666666,8,4,0,0,2,0,r,False,Submission,Featherweight,3,3,0.5625,0.61,0.5714285714285714,0.4,0.625,0.3333333333333333,0.5,0.0,0.75,0.6666666666666666,1.0,0.0,0.0
Jack Hermansson,Marvin Vettori,0,1,122,164,0.35,0.49,139,202,2 of 7,0 of 1,0.28,0.0,0,1,0,1,28,347,0.25287356321839083,0.49056603773584906,1.0,0.6666666666666666,1.0,0.0,30,54,0,0,0,0,b,False,Decision - Unanimous,Middleweight,5,5,0.38082191780821917,0.5372340425531915,0.3157894736842105,0.4954128440366973,0.25287356321839083,0.49056603773584906,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0
Ovince Saint Preux,Jamahal Hill,0,0,36,68,0.5,0.53,37,68,0 of 0,0 of 0,0.0,0.0,0,0,0,0,0,15,0.2631578947368421,0.47761194029850745,0.8571428571428571,1.0,0.8,0.5,14,35,1,6,0,0,b,False,KO/TKO,Light Heavyweight,2,3,0.5068493150684932,0.53125,0.4827586206896552,0.5072463768115942,0.2631578947368421,0.47761194029850745,0.8571428571428571,1.0,0.8,0.5,0.0,0.0,0.5
Gabriel Benitez,Justin Jaynes,1,0,38,22,0.36,0.42,38,22,0 of 0,0 of 0,0.0,0.0,0,0,0,0,0,0,0.24096385542168675,0.36363636363636365,0.8333333333333334,0.75,0.8888888888888888,0.0,34,22,0,0,4,0,r,False,KO/TKO,Lightweight,1,4,0.36538461538461536,0.4230769230769231,0.3434343434343434,0.4230769230769231,0.24096385542168675,0.36363636363636365,0.8333333333333334,0.75,0.8888888888888888,0.0,0.8,0.0,0.0
Roman Dolidze,John Allan,0,0,51,29,0.46,0.33,118,48,3 of 5,1 of 1,0.6,1.0,3,0,0,0,436,15,0.5142857142857142,0.21052631578947367,0.8181818181818182,0.2,1.0,1.0,28,7,0,1,0,0,r,False,Decision - Split,Light Heavyweight,3,5,0.5756097560975609,0.41025641025641024,0.6086956521739131,0.2692307692307692,0.5142857142857142,0.21052631578947367,0.8181818181818182,0.2,1.0,1.0,0.0,0.0,0.0
Matt Wiman,Jordan Leavitt,0,0,0,1,0.0,1.0,0,1,0 of 0,1 of 2,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,b,False,KO/TKO,Lightweight,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Louis Smolka,Jose Quinonez,0,0,59,43,0.5,0.4,64,47,3 of 4,2 of 3,0.75,0.66,0,0,0,0,69,31,0.40540540540540543,0.1875,0.8571428571428571,0.625,1.0,1.0,5,9,5,2,12,0,r,False,KO/TKO,Bantamweight,2,2,0.5,0.415929203539823,0.29411764705882354,0.375,0.40540540540540543,0.1875,0.8571428571428571,0.625,1.0,1.0,0.5714285714285714,0.0,0.7142857142857143
Ilia Topuria,Damon Jackson,1,0,31,16,0.49,0.3,31,16,0 of 0,0 of 0,0.0,0.0,0,0,0,0,3,13,0.35294117647058826,0.25,0.6428571428571429,0.5,1.0,0.5,30,15,0,1,1,0,r,False,KO/TKO,Featherweight,1,2,0.484375,0.3018867924528302,0.5,0.3,0.35294117647058826,0.25,0.6428571428571429,0.5,1.0,0.5,1.0,0.0,0.0
Gian Villante,Jake Collier,0,0,80,123,0.4,0.45,81,126,0 of 0,0 of 0,0.0,0.0,0,0,0,0,0,2,0.35714285714285715,0.4126984126984127,0.5,0.5,0.6666666666666666,1.0,22,35,1,1,0,0,b,False,Decision - Unanimous,Heavyweight,3,5,0.4090909090909091,0.4548736462093863,0.36666666666666664,0.44871794871794873,0.35714285714285715,0.4126984126984127,0.5,0.5,0.6666666666666666,1.0,0.0,0.0,1.0
Anthony Smith,Devin Clark,0,0,1,1,0.25,0.33,4,27,1 of 1,0 of 0,1.0,0.0,1,0,0,1,78,67,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,0,0,1,0,r,False,Submission,Light Heavyweight,1,2,0.5,0.9,0.0,0.3333333333333333,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Miguel Baeza,Takashi Sato,0,0,40,15,0.54,0.25,43,15,1 of 2,0 of 0,0.5,0.0,1,0,0,0,69,2,0.4782608695652174,0.2,0.8333333333333334,0.5,1.0,0.0,17,7,0,0,5,0,r,False,Submission,Welterweight,2,4,0.524390243902439,0.25862068965517243,0.5483870967741935,0.2413793103448276,0.4782608695652174,0.2,0.8333333333333334,0.5,1.0,0.0,1.0,0.0,0.0
Josh Parisian,Parker Porter,0,0,114,126,0.5,0.55,123,164,0 of 0,2 of 4,0.0,0.5,0,1,0,0,28,267,0.43137254901960786,0.4936708860759494,0.6153846153846154,1.0,1.0,1.0,32,47,2,3,0,0,b,False,Decision - Unanimous,Heavyweight,3,5,0.5189873417721519,0.5963636363636363,0.5,0.5465116279069767,0.43137254901960786,0.4936708860759494,0.6153846153846154,1.0,1.0,1.0,0.0,0.0,0.5
Spike Carlyle,Bill Algeo,0,0,23,70,0.43,0.73,28,118,4 of 13,1 of 3,0.3,0.33,1,0,1,1,258,256,0.4,0.75,0.4,0.7142857142857143,0.0,0.5,7,18,1,11,0,1,b,False,Decision - Unanimous,Featherweight,3,5,0.4307692307692308,0.7866666666666666,0.3888888888888889,0.6428571428571429,0.4,0.75,0.4,0.7142857142857143,0.0,0.5,0.0,1.0,0.3333333333333333
Ashlee Evans-Smith,Norma Dumont,0,1,42,94,0.25,0.58,47,109,0 of 2,2 of 4,0.0,0.5,0,0,0,1,10,241,0.08333333333333333,0.5076923076923077,0.5714285714285714,1.0,0.6666666666666666,1.0,13,29,3,6,0,5,b,False,Decision - Unanimous,Women's Bantamweight,3,5,0.2781065088757396,0.6123595505617978,0.203125,0.5,0.08333333333333333,0.5076923076923077,0.5714285714285714,1.0,0.6666666666666666,1.0,0.0,0.8333333333333334,0.75
Jonathan Pearce,Kai Kamaka,0,0,51,47,0.51,0.56,113,48,5 of 7,1 of 3,0.71,0.33,1,1,0,1,206,33,0.6153846153846154,0.5,0.75,1.0,1.0,0.0,8,9,3,2,18,1,r,False,KO/TKO,Featherweight,2,4,0.6569767441860465,0.5714285714285714,0.4,0.6,0.6153846153846154,0.5,0.75,1.0,1.0,0.0,0.9,1.0,0.6
Martin Day,Anderson Dos Santos,0,0,9,11,0.75,0.55,16,22,1 of 1,1 of 6,1.0,0.16,0,1,0,0,15,177,0.75,0.38461538461538464,1.0,1.0,0.6,0.8,9,8,0,0,0,3,b,False,Submission,Bantamweight,1,4,0.8421052631578947,0.7096774193548387,0.75,0.5333333333333333,0.75,0.38461538461538464,1.0,1.0,0.6,0.8,0.0,0.75,0.0
Gina Mazany,Rachael Ostovich,1,0,72,41,0.44,0.43,106,49,7 of 12,0 of 1,0.58,0.0,1,0,0,1,413,11,0.5147058823529411,0.34782608695652173,0.8333333333333334,0.6666666666666666,1.0,0.0,15,7,12,5,14,0,r,False,KO/TKO,Women's Flyweight,3,4,0.49074074074074076,0.46226415094339623,0.42857142857142855,0.30434782608695654,0.5147058823529411,0.34782608695652173,0.8333333333333334,0.6666666666666666,1.0,0.0,0.6086956521739131,0.0,0.7058823529411765
Su Mudaerji,Malcolm Gordon,1,0,9,0,0.5,0.0,9,0,0 of 0,0 of 0,0.0,0.0,0,0,0,0,2,0,0.4,0.0,0.0,0.0,1.0,0.0,9,0,0,0,0,0,r,False,KO/TKO,Flyweight,1,0,0.5,0.0,0.5294117647058824,0.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
