winner,win_con,title_bout,r_fighter,b_fighter,weight_class,r_str_acc,b_str_acc,r_td,b_td,r_SLpM,b_SLpM,r_SApM,b_SApM,r_consec_wins,b_consec_wins,r_wins,b_wins,r_losses,b_losses,r_reach_adv,r_stance,b_stance
b,KO/TKO,False,Curtis Blaydes,Derrick Lewis,Heavyweight,0.53,0.3,0,0,4.666666666666667,1.1666666666666667,1.1666666666666667,4.666666666666667,4,3,9,15,2,5,1.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Ketlen Vieira,Yana Kunitskaya,Women's Bantamweight,0.43,0.78,3,0,0.4666666666666667,3.1333333333333333,3.1333333333333333,0.4666666666666667,1,1,5,3,1,2,0.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Charles Rosa,Darrick Minner,Featherweight,0.6,0.75,0,4,1.0,3.0,3.0,1.0,1,1,4,1,4,1,0.0,Switch,Orthodox
b,KO/TKO,False,Aleksei Oleinik,Chris Daukaus,Heavyweight,0.5,0.6,0,0,5.0,34.0,34.0,5.0,0,2,8,2,5,0,4.0,Orthodox,Orthodox
r,Decision - Majority,False,Phil Hawes,Nassourdine Imavov,Middleweight,0.57,0.61,4,0,2.066666666666667,3.8,3.8,2.066666666666667,1,1,1,1,0,0,2.0,Orthodox,Orthodox
b,Submission,False,Andrei Arlovski,Tom Aspinall,Heavyweight,0.36,0.61,0,1,3.3333333333333335,6.166666666666667,6.166666666666667,3.3333333333333335,2,2,19,2,13,0,-1.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Jared Gordon,Danny Chavez,Featherweight,0.62,0.34,2,1,5.466666666666667,2.6,2.6,5.466666666666667,1,1,4,1,3,0,1.0,Orthodox,Orthodox
b,KO/TKO,False,Eddie Wineland,John Castaneda,Bantamweight,0.25,0.73,1,0,4.25,10.5,10.5,4.25,0,0,6,0,8,1,-2.0,Orthodox,Switch
b,KO/TKO,False,Nate Landwehr,Julian Erosa,Featherweight,0.64,0.65,0,0,9.0,15.0,15.0,9.0,1,1,1,2,1,4,-2.0,Orthodox,Southpaw
b,KO/TKO,False,Shana Dobson,Casey O'Neill,Women's Flyweight,0.57,0.72,0,4,2.0,6.125,6.125,2.0,1,0,2,0,3,0,0.0,Orthodox,
r,KO/TKO,False,Aiemann Zahabi,Drako Rodriguez,Bantamweight,0.81,0.33,0,0,3.0,3.6666666666666665,3.6666666666666665,3.0,0,0,1,0,2,0,-1.0,Orthodox,Orthodox
r,KO/TKO,False,Serghei Spivac,Jared Vanderaa,Heavyweight,0.7,0.54,3,0,5.666666666666667,1.4444444444444444,1.4444444444444444,5.666666666666667,1,0,2,0,2,0,-2.0,Orthodox,Orthodox
r,KO/TKO,True,Kamaru Usman,Gilbert Burns,Welterweight,0.61,0.41,0,0,8.3,4.5,4.5,8.3,12,6,12,12,0,3,5.0,Switch,Orthodox
b,Decision - Unanimous,False,Maycee Barber,Alexa Grasso,Women's Flyweight,0.26,0.46,3,0,2.6666666666666665,2.533333333333333,2.533333333333333,2.6666666666666665,0,1,3,4,1,3,-1.0,Switch,Orthodox
r,Decision - Unanimous,False,Kelvin Gastelum,Ian Heinisch,Middleweight,0.45,0.4,6,1,2.533333333333333,1.8,1.8,2.533333333333333,0,1,10,3,6,2,-1.0,Southpaw,Orthodox
r,Decision - Unanimous,False,Ricky Simon,Brian Kelleher,Featherweight,0.45,0.26,6,0,3.0,1.2666666666666666,1.2666666666666666,3.0,2,1,5,6,2,4,3.0,Orthodox,Switch
b,Submission,False,Maki Pitolo,Julian Marquez,Middleweight,0.49,0.41,5,0,2.2857142857142856,2.9285714285714284,2.9285714285714284,2.2857142857142856,0,0,1,1,3,1,3.0,Orthodox,Orthodox
b,Submission,False,Rodolfo Vieira,Anthony Hernandez,Middleweight,0.34,0.64,4,0,1.5,5.333333333333333,5.333333333333333,1.5,2,0,2,1,0,2,-2.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Belal Muhammad,Dhiego Lima,Welterweight,0.48,0.33,1,0,8.6,4.6,4.6,8.6,3,3,8,4,3,5,-3.0,Orthodox,Orthodox
r,Submission,False,Polyana Viana,Mallory Martin,Women's Strawweight,0.25,0.71,0,1,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.3333333333333333,1,1,2,1,3,1,4.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Andre Ewell,Chris Gutierrez,Catch Weight,0.49,0.54,1,1,3.933333333333333,4.6,4.6,3.933333333333333,2,3,4,3,2,1,8.0,Southpaw,Orthodox
r,Decision - Unanimous,False,Gabe Green,Philip Rowe,Welterweight,0.46,0.48,2,2,4.666666666666667,2.8,2.8,4.666666666666667,0,0,0,0,1,0,-7.0,Switch,Orthodox
b,KO/TKO,False,Alistair Overeem,Alexander Volkov,Heavyweight,0.5,0.61,0,0,1.4285714285714286,7.714285714285714,7.714285714285714,1.4285714285714286,2,1,12,6,7,2,0.0,Orthodox,Orthodox
r,KO/TKO,False,Cory Sandhagen,Frankie Edgar,Bantamweight,0.4,0.66,0,0,2.0,2.0,2.0,2.0,1,1,6,18,1,8,2.0,Switch,Orthodox
b,Decision - Unanimous,False,Michael Johnson,Clay Guida,Lightweight,0.46,0.55,0,3,3.8666666666666667,3.2666666666666666,3.2666666666666666,3.8666666666666667,0,0,11,15,12,14,3.0,Southpaw,Orthodox
r,Decision - Unanimous,False,Alexandre Pantoja,Manel Kape,Flyweight,0.49,0.53,0,2,4.933333333333334,3.2666666666666666,3.2666666666666666,4.933333333333334,0,0,6,0,3,0,-1.0,Orthodox,Southpaw
b,Decision - Split,False,Diego Ferreira,Beneil Dariush,Lightweight,0.44,0.53,0,5,3.6,4.133333333333334,4.133333333333334,3.6,6,5,8,13,2,4,2.0,Orthodox,Southpaw
b,Submission,False,Mike Rodriguez,Danilo Marques,Light Heavyweight,0.66,1.0,0,4,1.7777777777777777,3.2222222222222223,3.2222222222222223,1.7777777777777777,0,1,2,1,3,0,5.0,Southpaw,Orthodox
r,TKO - Doctor's Stoppage,False,Devonte Smith,Justin Jaynes,Catch Weight,0.52,0.4,1,0,4.25,1.375,1.375,4.25,0,0,2,1,1,2,8.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Karol Rosa,Joselyne Edwards,Women's Bantamweight,0.67,0.64,4,1,3.8,2.533333333333333,2.533333333333333,3.8,2,1,2,1,0,0,-3.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Molly McCann,Lara Procopio,Women's Flyweight,0.78,0.62,0,7,2.466666666666667,2.4,2.4,2.466666666666667,0,0,3,0,2,1,-5.0,Orthodox,Orthodox
r,Decision - Unanimous,False,SeungWoo Choi,Youssef Zalal,Featherweight,0.37,0.48,2,3,2.7333333333333334,1.5333333333333334,1.5333333333333334,2.7333333333333334,1,0,1,3,2,1,2.0,Orthodox,Switch
r,Decision - Unanimous,False,Timur Valiev,Martin Day,Featherweight,0.72,0.28,4,0,3.6666666666666665,0.5333333333333333,0.5333333333333333,3.6666666666666665,0,0,0,0,0,3,-6.0,Orthodox,Orthodox
r,KO/TKO,False,Ode Osbourne,Jerome Rivera,Featherweight,0.83,0.66,0,0,5.0,2.0,2.0,5.0,0,0,0,0,1,2,1.0,Southpaw,Southpaw
r,KO/TKO,False,Dustin Poirier,Conor McGregor,Lightweight,0.52,0.43,1,0,6.857142857142857,4.142857142857143,4.142857142857143,6.857142857142857,1,1,18,10,5,2,-2.0,Southpaw,Southpaw
b,KO/TKO,False,Dan Hooker,Michael Chandler,Lightweight,0.42,0.7,0,0,4.0,8.5,8.5,4.0,0,0,10,0,5,0,4.0,Switch,Orthodox
b,Decision - Unanimous,False,Jessica Eye,Joanne Calderwood,Women's Flyweight,0.44,0.61,1,1,5.133333333333334,9.866666666666667,9.866666666666667,5.133333333333334,0,0,5,6,7,5,1.0,Orthodox,Orthodox
b,KO/TKO,False,Andrew Sanchez,Makhmud Muradov,Middleweight,0.34,0.45,0,0,4.0,6.583333333333333,6.583333333333333,4.0,1,2,5,2,3,0,-1.0,Orthodox,Orthodox
r,KO/TKO,False,Marina Rodriguez,Amanda Ribas,Women's Strawweight,0.41,0.3,0,1,3.0,1.4,1.4,3.0,0,4,2,4,1,0,-1.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Arman Tsarukyan,Matt Frevola,Lightweight,0.48,0.28,10,0,3.3333333333333335,1.0666666666666667,1.0666666666666667,3.3333333333333335,2,2,2,2,1,1,1.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Brad Tavares,Antonio Carlos Junior,Middleweight,0.5,0.33,0,1,3.6,2.2666666666666666,2.2666666666666666,3.6,0,0,12,7,6,4,-5.0,Orthodox,Orthodox
r,Submission,False,Julianna Pena,Sara McMann,Women's Bantamweight,0.5,0.38,1,3,2.923076923076923,1.6153846153846154,1.6153846153846154,2.923076923076923,0,1,5,6,2,5,3.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Khalil Rountree Jr.,Marcin Prachnio,Light Heavyweight,0.33,0.47,0,0,3.2666666666666666,6.8,6.8,3.2666666666666666,0,0,4,0,4,3,2.0,Southpaw,Orthodox
b,Decision - Split,False,Nik Lentz,Movsar Evloev,Catch Weight,0.36,0.48,1,2,3.066666666666667,5.466666666666667,5.466666666666667,3.066666666666667,0,3,14,3,8,0,-4.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Amir Albazi,Zhalgas Zhumagulov,Flyweight,0.4,0.44,2,1,4.533333333333333,3.933333333333333,3.933333333333333,4.533333333333333,1,0,1,0,0,1,2.0,Orthodox,Switch
r,Decision - Unanimous,False,Michael Chiesa,Neil Magny,Welterweight,0.46,0.24,4,1,0.96,0.48,0.48,0.96,3,3,10,17,4,6,-5.0,Southpaw,Orthodox
r,KO/TKO,False,Warlley Alves,Mounir Lazzez,Welterweight,0.8,1.0,1,0,8.5,1.0,1.0,8.5,0,1,7,1,4,0,-4.0,Orthodox,Orthodox
r,KO/TKO,False,Ike Villanueva,Vinicius Moreira,Light Heavyweight,0.42,0.57,0,0,4.8,4.8,4.8,4.8,0,0,0,0,2,3,-3.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Roxanne Modafferi,Viviane Araujo,Women's Flyweight,0.25,0.43,0,4,3.066666666666667,5.733333333333333,5.733333333333333,3.066666666666667,1,1,4,3,5,1,1.0,Orthodox,Orthodox
r,Decision - Split,False,Matt Schnell,Tyson Nam,Flyweight,0.39,0.3,0,0,5.666666666666667,3.8666666666666667,3.8666666666666667,5.666666666666667,0,2,4,2,3,2,2.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Lerone Murphy,Douglas Silva de Andrade,Featherweight,0.41,0.36,1,1,3.2,2.6,2.6,3.2,1,1,1,4,0,3,5.0,Orthodox,Orthodox
r,Submission,False,Omari Akhmedov,Tom Breese,Middleweight,0.65,0.25,2,0,4.166666666666667,0.16666666666666666,0.16666666666666666,4.166666666666667,0,1,8,5,4,2,0.0,Orthodox,Southpaw
r,Submission,False,Ricky Simon,Gaetano Pirrello,Bantamweight,0.53,0.42,7,0,1.8888888888888888,0.6666666666666666,0.6666666666666666,1.8888888888888888,1,0,4,0,2,0,,Orthodox,
r,Decision - Unanimous,False,Su Mudaerji,Zarrukh Adashev,Flyweight,0.39,0.22,0,0,3.3333333333333335,1.8666666666666667,1.8666666666666667,3.3333333333333335,2,0,2,0,1,1,7.0,Southpaw,Southpaw
r,Decision - Unanimous,False,Dalcha Lungiambula,Markus Perez,Middleweight,0.44,0.51,1,0,1.9333333333333333,1.6666666666666667,1.6666666666666667,1.9333333333333333,0,0,1,2,1,4,3.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Francisco Figueiredo,Jerome Rivera,Flyweight,0.54,0.23,4,0,1.9333333333333333,2.066666666666667,2.066666666666667,1.9333333333333333,0,0,0,0,0,1,-3.0,Southpaw,Southpaw
r,Decision - Unanimous,False,Mike Davis,Mason Jones,Lightweight,0.52,0.37,3,1,7.2,7.8,7.8,7.2,1,0,1,0,1,0,,Orthodox,
r,Submission,False,Umar Nurmagomedov,Sergey Morozov,Bantamweight,0.6,0.23,5,0,3.125,0.875,0.875,3.125,0,0,0,0,0,0,,,
b,KO/TKO,False,Victoria Leonardo,Manon Fiorot,Women's Flyweight,0.2,0.53,0,1,1.8888888888888888,5.888888888888889,5.888888888888889,1.8888888888888888,0,0,0,0,0,0,,Orthodox,
r,Decision - Unanimous,False,Max Holloway,Calvin Kattar,Featherweight,0.59,0.47,0,0,17.8,5.32,5.32,17.8,0,2,17,6,6,2,-3.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Carlos Condit,Matt Brown,Welterweight,0.44,0.75,2,1,2.6,1.8666666666666667,1.8666666666666667,2.6,1,0,8,15,9,11,0.0,Orthodox,Orthodox
b,KO/TKO,False,Santiago Ponzinibbio,Li Jingliang,Welterweight,0.61,0.42,0,0,2.75,5.25,5.25,2.75,7,0,9,9,2,4,2.0,Orthodox,Orthodox
b,KO/TKO,False,Joaquin Buckley,Alessio Di Chirico,Middleweight,0.13,0.52,0,0,1.5,6.0,6.0,1.5,2,0,2,3,1,5,2.0,Southpaw,Orthodox
r,KO/TKO,False,Punahele Soriano,Dusko Todorovic,Middleweight,0.45,0.38,0,0,7.5,5.5,5.5,7.5,1,1,1,1,0,0,-2.0,Southpaw,Orthodox
b,Decision - Unanimous,False,Wu Yanan,Joselyne Edwards,Women's Bantamweight,0.44,0.49,1,0,3.8666666666666667,5.866666666666666,5.866666666666666,3.8666666666666667,0,0,1,0,2,0,-4.0,Orthodox,Orthodox
r,Decision - Split,False,Carlos Felipe,Justin Tafa,Heavyweight,0.54,0.58,0,0,5.133333333333334,5.733333333333333,5.733333333333333,5.133333333333334,1,1,1,1,1,1,1.0,Orthodox,Southpaw
b,Decision - Split,False,David Zawada,Ramazan Emeev,Welterweight,0.38,0.52,1,4,2.933333333333333,3.533333333333333,3.533333333333333,2.933333333333333,1,1,1,4,2,1,-1.0,Orthodox,Southpaw
b,Decision - Unanimous,False,Sarah Moras,Vanessa Melo,Women's Bantamweight,0.22,0.33,0,0,2.933333333333333,3.7333333333333334,3.7333333333333334,2.933333333333333,0,0,3,0,5,3,2.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Jacob Kilburn,Austin Lingo,Featherweight,0.31,0.52,1,1,4.266666666666667,6.333333333333333,6.333333333333333,4.266666666666667,0,0,0,0,1,1,2.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Stephen Thompson,Geoff Neal,Welterweight,0.42,0.47,0,0,6.84,3.4,3.4,6.84,1,5,10,5,4,0,0.0,Orthodox,Southpaw
r,Decision - Unanimous,False,Jose Aldo,Marlon Vera,Bantamweight,0.62,0.56,0,0,2.933333333333333,3.066666666666667,3.066666666666667,2.933333333333333,0,1,10,10,6,5,0.0,Orthodox,Switch
r,Decision - Unanimous,False,Michel Pereira,Khaos Williams,Welterweight,0.55,0.43,2,0,2.933333333333333,3.6666666666666665,3.6666666666666665,2.933333333333333,1,2,2,2,2,0,-4.0,Orthodox,Orthodox
b,KO/TKO,False,Marlon Moraes,Rob Font,Bantamweight,0.75,0.81,2,0,3.0,10.0,10.0,3.0,0,2,5,7,3,3,-4.0,Orthodox,Orthodox
r,KO/TKO,False,Marcin Tybura,Greg Hardy,Heavyweight,0.5,0.54,1,0,5.666666666666667,5.555555555555555,5.555555555555555,5.666666666666667,3,2,7,4,5,2,-2.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Anthony Pettis,Alex Morono,Welterweight,0.62,0.39,0,1,3.3333333333333335,2.066666666666667,2.066666666666667,3.3333333333333335,1,1,10,7,9,3,0.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Sijara Eubanks,Pannie Kianzad,Women's Bantamweight,0.47,0.64,2,0,3.2666666666666666,6.133333333333334,6.133333333333334,3.2666666666666666,0,2,4,2,3,2,1.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Deron Winn,Antonio Arroyo,Catch Weight,0.52,0.72,12,0,1.3333333333333333,3.0,3.0,1.3333333333333333,0,0,1,0,2,1,-3.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Gillian Robertson,Taila Santos,Women's Flyweight,0.64,0.72,0,1,0.6,1.8,1.8,0.6,2,1,6,1,2,1,-5.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Tafon Nchukwi,Jamie Pickett,Middleweight,0.64,0.49,0,1,8.0,2.6666666666666665,2.6666666666666665,8.0,0,0,0,0,0,0,-3.0,Orthodox,Orthodox
r,Submission,False,Jimmy Flick,Cody Durden,Flyweight,0.42,0.65,0,2,2.0,7.0,7.0,2.0,0,0,0,0,0,0,1.0,Orthodox,Southpaw
r,Decision - Unanimous,False,Christos Giagos,Carlton Minus,Catch Weight,0.46,0.35,5,0,2.066666666666667,1.8666666666666667,1.8666666666666667,2.066666666666667,0,0,3,0,4,1,-4.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Tony Ferguson,Charles Oliveira,Lightweight,0.45,0.65,0,3,1.2666666666666666,2.7333333333333334,2.7333333333333334,1.2666666666666666,0,7,15,17,2,8,2.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Mackenzie Dern,Virna Jandiroba,Women's Strawweight,0.47,0.47,0,1,5.466666666666667,4.2,4.2,5.466666666666667,2,2,4,2,1,1,-1.0,Orthodox,Orthodox
r,KO/TKO,False,Kevin Holland,Jacare Souza,Middleweight,0.83,1.0,0,2,15.0,2.0,2.0,15.0,4,0,7,9,2,5,9.0,Orthodox,Orthodox
b,KO/TKO,False,Junior Dos Santos,Ciryl Gane,Heavyweight,0.28,0.73,0,0,1.4285714285714286,8.428571428571429,8.428571428571429,1.4285714285714286,0,3,15,3,7,0,-4.0,Orthodox,Orthodox
r,KO/TKO,False,Cub Swanson,Daniel Pineda,Featherweight,0.69,0.46,1,1,7.666666666666667,3.5,3.5,7.666666666666667,1,1,11,4,7,4,1.0,Orthodox,Orthodox
b,KO/TKO,False,Renato Moicano,Rafael Fiziev,Lightweight,0.4,0.6,0,0,3.75,5.25,5.25,3.75,1,2,6,2,3,1,1.0,Orthodox,Switch
r,Decision - Unanimous,False,Gavin Tucker,Billy Quarantillo,Featherweight,0.63,0.47,7,0,7.066666666666666,5.6,5.6,7.066666666666666,2,3,3,3,1,0,-4.0,Southpaw,Orthodox
r,TKO - Doctor's Stoppage,False,Tecia Torres,Sam Hughes,Women's Strawweight,0.5,0.37,1,0,10.4,4.0,4.0,10.4,1,0,7,0,5,0,-4.0,Orthodox,Orthodox
r,Submission,False,Chase Hooper,Peter Barrett,Featherweight,0.48,0.55,0,0,4.384615384615385,3.6923076923076925,3.6923076923076925,4.384615384615385,0,0,1,0,1,1,1.0,Southpaw,Southpaw
b,Decision - Unanimous,False,Jack Hermansson,Marvin Vettori,Middleweight,0.35,0.49,2,0,4.88,6.56,6.56,4.88,1,3,8,5,3,2,3.0,Orthodox,Southpaw
b,KO/TKO,False,Ovince Saint Preux,Jamahal Hill,Light Heavyweight,0.5,0.53,0,0,4.5,8.5,8.5,4.5,1,1,13,1,9,0,1.0,Southpaw,Southpaw
r,KO/TKO,False,Gabriel Benitez,Justin Jaynes,Lightweight,0.36,0.42,0,0,9.5,5.5,5.5,9.5,0,0,5,1,4,1,3.0,Southpaw,Orthodox
r,Decision - Split,False,Roman Dolidze,John Allan,Light Heavyweight,0.46,0.33,3,1,3.4,1.9333333333333333,1.9333333333333333,3.4,1,0,1,0,0,0,1.0,Orthodox,Orthodox
b,KO/TKO,False,Matt Wiman,Jordan Leavitt,Lightweight,0.0,1.0,0,1,0.0,1.0,1.0,0.0,0,0,10,0,7,0,-3.0,Orthodox,Southpaw
r,KO/TKO,False,Louis Smolka,Jose Quinonez,Bantamweight,0.5,0.4,3,2,8.428571428571429,6.142857142857143,6.142857142857143,8.428571428571429,0,0,7,5,7,3,-1.0,Orthodox,Southpaw
r,KO/TKO,False,Ilia Topuria,Damon Jackson,Featherweight,0.49,0.3,0,0,15.5,8.0,8.0,15.5,1,1,1,1,0,1,-2.0,Orthodox,Switch
b,Decision - Unanimous,False,Gian Villante,Jake Collier,Heavyweight,0.4,0.45,0,0,5.333333333333333,8.2,8.2,5.333333333333333,0,0,7,3,9,4,-2.0,Orthodox,Orthodox
r,Submission,False,Anthony Smith,Devin Clark,Light Heavyweight,0.25,0.33,1,0,0.5,0.5,0.5,0.5,0,2,8,6,6,4,1.0,Orthodox,Orthodox
r,Submission,False,Miguel Baeza,Takashi Sato,Welterweight,0.54,0.25,1,0,4.444444444444445,1.6666666666666667,1.6666666666666667,4.444444444444445,2,1,2,2,0,1,1.0,Orthodox,Southpaw
b,Decision - Unanimous,False,Josh Parisian,Parker Porter,Heavyweight,0.5,0.55,0,2,7.6,8.4,8.4,7.6,0,0,0,0,0,1,4.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Spike Carlyle,Bill Algeo,Featherweight,0.43,0.73,4,1,1.5333333333333334,4.666666666666667,4.666666666666667,1.5333333333333334,0,0,1,0,1,1,-2.0,Switch,Switch
b,Decision - Unanimous,False,Ashlee Evans-Smith,Norma Dumont,Women's Bantamweight,0.25,0.58,0,2,2.8,6.266666666666667,6.266666666666667,2.8,0,0,3,0,4,1,0.0,Orthodox,Orthodox
r,KO/TKO,False,Jonathan Pearce,Kai Kamaka,Featherweight,0.51,0.56,5,1,5.666666666666667,5.222222222222222,5.222222222222222,5.666666666666667,0,1,0,1,1,0,2.0,Switch,Orthodox
b,Submission,False,Martin Day,Anderson Dos Santos,Bantamweight,0.75,0.55,1,1,2.25,2.75,2.75,2.25,0,0,0,0,2,2,3.0,Orthodox,Orthodox
r,KO/TKO,False,Gina Mazany,Rachael Ostovich,Women's Flyweight,0.44,0.43,7,0,5.142857142857143,2.9285714285714284,2.9285714285714284,5.142857142857143,0,0,1,1,4,2,6.0,Southpaw,Orthodox
r,KO/TKO,False,Su Mudaerji,Malcolm Gordon,Flyweight,0.5,0.0,0,0,9.0,0.0,0.0,9.0,1,0,1,0,1,1,1.0,Southpaw,Switch
b,Submission,False,Luke Sanders,Nate Maness,Catch Weight,0.49,0.47,0,1,7.857142857142857,4.714285714285714,4.714285714285714,7.857142857142857,1,1,3,1,3,0,-5.0,Southpaw,Orthodox
r,Submission,True,Deiveson Figueiredo,Alex Perez,Flyweight,0.62,0.42,0,0,5.0,6.0,6.0,5.0,4,3,8,6,1,1,3.0,Orthodox,Orthodox
r,Decision - Unanimous,True,Valentina Shevchenko,Jennifer Maia,Women's Flyweight,0.52,0.4,5,1,2.48,1.44,1.44,2.48,5,1,8,3,2,2,2.0,Southpaw,Orthodox
b,Decision - Unanimous,False,Mike Perry,Tim Means,Welterweight,0.39,0.66,1,0,4.266666666666667,8.533333333333333,8.533333333333333,4.266666666666667,1,1,7,12,6,9,-4.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Katlyn Chookagian,Cynthia Calvillo,Women's Flyweight,0.3,0.3,0,1,4.6,4.0,4.0,4.6,0,3,7,6,4,1,4.0,Orthodox,Orthodox
b,KO/TKO,False,Mauricio Rua,Paul Craig,Light Heavyweight,0.35,0.5,0,4,1.25,3.625,3.625,1.25,2,2,11,5,9,4,0.0,Orthodox,Orthodox
r,KO/TKO,False,Brandon Moreno,Brandon Royval,Flyweight,0.47,0.32,2,0,4.0,4.25,4.25,4.0,2,2,5,2,2,0,2.0,Orthodox,Southpaw
r,KO/TKO,False,Joaquin Buckley,Jordan Wright,Middleweight,0.53,0.38,0,0,8.6,3.6,3.6,8.6,1,1,1,1,1,0,-1.0,Southpaw,Orthodox
r,KO/TKO,False,Antonina Shevchenko,Ariane Lipski,Women's Flyweight,0.68,0.57,1,0,4.333333333333333,1.6666666666666667,1.6666666666666667,4.333333333333333,0,2,2,2,2,2,0.0,Southpaw,Orthodox
b,Decision - Unanimous,False,Daniel Rodriguez,Nicolas Dalby,Welterweight,0.41,0.34,0,0,5.533333333333333,3.3333333333333335,3.3333333333333335,5.533333333333333,3,1,3,2,0,2,0.0,Southpaw,Orthodox
r,Decision - Unanimous,False,Alan Jouban,Jared Gooden,Welterweight,0.5,0.47,0,1,11.2,6.666666666666667,6.666666666666667,11.2,0,0,7,0,5,0,-4.0,Southpaw,Orthodox
r,Decision - Unanimous,False,Kyle Daukaus,Dustin Stoltzfus,Middleweight,0.52,0.5,2,0,4.266666666666667,2.1333333333333333,2.1333333333333333,4.266666666666667,0,0,0,0,1,0,1.0,Southpaw,Orthodox
b,KO/TKO,False,Louis Cosce,Sasha Palatnikov,Welterweight,0.48,0.52,1,1,8.25,10.416666666666666,10.416666666666666,8.25,0,0,0,0,0,0,-1.0,Orthodox,Switch
b,Decision - Split,False,Paul Felder,Rafael Dos Anjos,Lightweight,0.51,0.56,1,6,3.92,3.68,3.68,3.92,0,0,9,18,5,11,0.0,Orthodox,Southpaw
b,KO/TKO,False,Abdul Razak Alhassan,Khaos Williams,Welterweight,1.0,0.5,0,0,2.0,5.0,5.0,2.0,0,1,4,1,2,0,-4.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Ashley Yoder,Miranda Granger,Women's Strawweight,0.61,0.64,2,0,1.7333333333333334,2.2,2.2,1.7333333333333334,0,0,2,1,5,1,1.0,Southpaw,Orthodox
b,KO/TKO,False,Brendan Allen,Sean Strickland,Catch Weight,0.56,0.58,0,1,8.5,15.666666666666666,15.666666666666666,8.5,3,2,3,8,0,3,-1.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Kay Hansen,Cory McKenna,Women's Strawweight,0.6,0.41,2,0,4.466666666666667,3.8,3.8,4.466666666666667,1,0,1,0,0,0,5.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Randa Markos,Kanako Murata,Women's Strawweight,0.47,0.67,0,4,1.9333333333333333,1.9333333333333333,1.9333333333333333,1.9333333333333333,0,0,6,0,8,0,1.0,Orthodox,Orthodox
b,Decision - Split,False,Geraldo de Freitas,Tony Gravely,Bantamweight,0.59,0.48,1,7,5.066666666666666,3.2666666666666666,3.2666666666666666,5.066666666666666,0,0,1,0,1,1,3.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Alex Morono,Rhys McKee,Welterweight,0.54,0.53,3,0,11.733333333333333,8.266666666666667,8.266666666666667,11.733333333333333,0,0,6,0,3,1,-6.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Don'Tale Mayes,Roque Martinez,Heavyweight,0.43,0.52,1,1,3.933333333333333,3.8666666666666667,3.8666666666666667,3.933333333333333,0,0,0,0,2,1,9.0,Orthodox,Orthodox
b,Submission,False,Thiago Santos,Glover Teixeira,Light Heavyweight,0.62,0.73,0,4,3.6363636363636362,4.181818181818182,4.181818181818182,3.6363636363636362,0,4,13,14,6,5,0.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Andrei Arlovski,Tanner Boser,Heavyweight,0.41,0.57,0,0,2.2666666666666666,4.533333333333333,4.533333333333333,2.2666666666666666,1,2,18,3,13,1,2.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Raoni Barcelos,Khalid Taha,Bantamweight,0.57,0.24,2,0,8.0,3.2666666666666666,3.2666666666666666,8.0,4,1,4,1,0,1,-2.0,Orthodox,Orthodox
r,KO/TKO,False,Giga Chikadze,Jamey Simmons,Featherweight,0.5,0.5,0,0,2.6666666666666665,0.6666666666666666,0.6666666666666666,2.6666666666666665,4,0,4,0,0,0,4.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Claudia Gadelha,Yan Xiaonan,Women's Strawweight,0.37,0.43,2,0,2.4,4.933333333333334,4.933333333333334,2.4,2,5,7,5,4,0,0.0,Orthodox,Orthodox
r,KO/TKO,False,Trevin Giles,Bevon Lewis,Middleweight,0.64,0.34,1,0,3.4545454545454546,2.3636363636363638,2.3636363636363638,3.4545454545454546,1,1,3,1,2,2,-5.0,Orthodox,Orthodox
