winner,win_con,title_bout,r_fighter,b_fighter,weight_class,r_str_acc,b_str_acc,r_td,b_td,r_SLpM,b_SLpM,r_SApM,b_SApM,r_consec_wins,b_consec_wins,r_wins,b_wins,r_losses,b_losses,r_reach_adv,r_stance,b_stance
b,Decision - Split,False,Mirsad Bektic,Dan Ige,Featherweight,0.28,0.48,3,1,1.1333333333333333,2.8666666666666667,2.8666666666666667,1.1333333333333333,0,4,6,4,2,1,-1.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Derrick Lewis,Ilir Latifi,Heavyweight,0.4,0.41,0,3,1.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,1,0,13,7,5,5,6.0,Orthodox,Orthodox
r,Decision - Split,False,Trevin Giles,James Krause,Middleweight,0.47,0.55,0,1,4.733333333333333,2.933333333333333,2.933333333333333,4.733333333333333,0,6,2,8,2,3,1.0,Orthodox,Orthodox
r,Decision - Split,False,Lauren Murphy,Andrea Lee,Women's Flyweight,0.4,0.38,2,0,5.333333333333333,6.933333333333334,6.933333333333334,5.333333333333333,1,0,3,3,4,1,-2.0,Orthodox,Orthodox
b,KO/TKO,False,Alex Morono,Khaos Williams,Welterweight,0.25,0.58,0,0,1.0,10.0,10.0,1.0,3,0,6,0,2,0,-5.0,Orthodox,Orthodox
b,KO/TKO,False,Miles Johns,Mario Bautista,Bantamweight,0.29,0.26,0,0,2.1666666666666665,3.0,3.0,2.1666666666666665,1,1,1,1,0,1,-3.0,Orthodox,Switch
r,Decision - Split,False,Andre Ewell,Jonathan Martinez,Bantamweight,0.45,0.46,0,0,5.333333333333333,4.4,4.4,5.333333333333333,0,2,2,2,2,1,5.0,Southpaw,Southpaw
b,Decision - Unanimous,False,Austin Lingo,Youssef Zalal,Featherweight,0.19,0.56,1,6,0.8,2.066666666666667,2.066666666666667,0.8,0,0,0,0,0,0,-2.0,Orthodox,Switch
r,KO/TKO,False,Curtis Blaydes,Junior Dos Santos,Heavyweight,0.46,0.23,0,0,4.666666666666667,1.1666666666666667,1.1666666666666667,4.666666666666667,2,0,7,15,2,5,3.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Rafael Dos Anjos,Michael Chiesa,Welterweight,0.38,0.17,0,6,0.9333333333333333,0.6,0.6,0.9333333333333333,0,2,18,9,10,4,-5.0,Southpaw,Southpaw
b,Submission,False,Jordan Espinosa,Alex Perez,Flyweight,0.15,0.22,0,1,1.0,1.0,1.0,1.0,0,1,1,4,1,1,4.0,Orthodox,Orthodox
b,KO/TKO,False,Hannah Cifers,Angela Hill,Women's Strawweight,0.42,0.45,0,1,5.111111111111111,7.777777777777778,7.777777777777778,5.111111111111111,2,1,2,5,1,7,-2.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Jamahal Hill,Darko Stosic,Light Heavyweight,0.43,0.43,0,6,6.733333333333333,2.066666666666667,2.066666666666667,6.733333333333333,0,0,0,1,0,2,3.0,Southpaw,Orthodox
r,Decision - Unanimous,False,Bevon Lewis,Dequan Townsend,Middleweight,0.43,0.43,0,0,2.4,1.8666666666666667,1.8666666666666667,2.4,0,0,0,0,2,1,0.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Arnold Allen,Nik Lentz,Featherweight,0.48,0.28,0,0,4.2,3.2666666666666666,3.2666666666666666,4.2,6,0,6,14,0,7,2.0,Southpaw,Orthodox
r,Decision - Unanimous,False,Justine Kish,Lucie Pudilova,Women's Flyweight,0.48,0.2,1,0,4.133333333333334,1.9333333333333333,1.9333333333333333,4.133333333333334,0,0,2,2,2,4,-3.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Montel Jackson,Felipe Colares,Bantamweight,0.72,0.25,11,1,5.0,0.4666666666666667,0.4666666666666667,5.0,2,1,2,1,1,1,6.0,Southpaw,Orthodox
r,Decision - Unanimous,False,Sara McMann,Lina Lansberg,Women's Bantamweight,0.76,0.2,3,0,2.533333333333333,0.06666666666666667,0.06666666666666667,2.533333333333333,0,2,5,4,5,3,1.0,Orthodox,Orthodox
r,Submission,False,Brett Johns,Tony Gravely,Bantamweight,0.76,0.59,6,5,3.0,2.1666666666666665,2.1666666666666665,3.0,0,0,3,0,2,0,2.0,Orthodox,Orthodox
r,KO/TKO,False,Herbert Burns,Nate Landwehr,Featherweight,0.41,0.44,1,0,3.5,2.0,2.0,3.5,0,0,0,0,0,0,1.0,Orthodox,Orthodox
r,KO/TKO,False,Conor McGregor,Donald Cerrone,Welterweight,0.73,0.0,0,0,19.0,0.0,0.0,19.0,0,0,9,23,2,10,1.0,Southpaw,Orthodox
r,Decision - Unanimous,False,Holly Holm,Raquel Pennington,Women's Bantamweight,0.48,0.48,0,1,2.0,2.533333333333333,2.533333333333333,2.0,0,1,5,7,5,4,2.0,Southpaw,Orthodox
r,Submission,False,Aleksei Oleinik,Maurice Greene,Heavyweight,0.31,0.44,3,0,0.7777777777777778,1.4444444444444444,1.4444444444444444,0.7777777777777778,0,0,6,3,4,1,0.0,Orthodox,Orthodox
r,Submission,False,Brian Kelleher,Ode Osbourne,Bantamweight,0.58,0.64,1,0,3.5,4.5,4.5,3.5,0,0,3,0,3,0,-7.0,Switch,Southpaw
b,Submission,False,Anthony Pettis,Diego Ferreira,Lightweight,0.48,0.47,0,3,3.6666666666666665,4.166666666666667,4.166666666666667,3.6666666666666665,0,5,9,7,8,2,-2.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Roxanne Modafferi,Maycee Barber,Women's Flyweight,0.44,0.51,1,0,1.2666666666666666,1.0666666666666667,1.0666666666666667,1.2666666666666666,0,3,2,3,4,0,4.0,Orthodox,Switch
b,Decision - Unanimous,False,Andre Fili,Sodiq Yusuff,Featherweight,0.33,0.47,3,0,3.2666666666666666,4.866666666666666,4.866666666666666,3.2666666666666666,2,3,8,3,5,0,3.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Tim Elliott,Askar Askarov,Flyweight,0.42,0.48,3,0,3.1333333333333333,4.866666666666666,4.866666666666666,3.1333333333333333,0,0,4,0,7,0,-1.0,Southpaw,Orthodox
r,KO/TKO,False,Drew Dober,Nasrat Haqparast,Lightweight,0.5,0.63,0,0,13.0,7.0,7.0,13.0,1,3,7,3,5,1,-2.0,Southpaw,Southpaw
r,Decision - Unanimous,False,Aleksa Camur,Justin Ledet,Light Heavyweight,0.48,0.33,1,0,5.333333333333333,2.933333333333333,2.933333333333333,5.333333333333333,0,0,0,3,0,2,-6.0,Orthodox,Orthodox
r,Decision - Split,False,Sabina Mazo,JJ Aldrich,Women's Flyweight,0.36,0.4,0,0,7.866666666666666,3.8666666666666667,3.8666666666666667,7.866666666666666,1,1,1,4,1,2,3.0,Orthodox,Southpaw
b,KO/TKO,False,Frankie Edgar,Chan Sung Jung,Featherweight,0.64,0.76,0,0,3.0,15.333333333333334,15.333333333333334,3.0,0,1,17,5,7,2,-4.0,Orthodox,Orthodox
r,Decision - Split,False,Volkan Oezdemir,Aleksandar Rakic,Light Heavyweight,0.43,0.51,0,1,4.2,5.0,5.0,4.2,1,4,4,4,3,0,-3.0,Orthodox,Orthodox
b,KO/TKO,False,Dooho Choi,Charles Jourdain,Featherweight,0.44,0.49,0,0,4.666666666666667,7.111111111111111,7.111111111111111,4.666666666666667,0,0,3,0,2,1,1.0,Orthodox,Switch
r,KO/TKO,False,Da-Un Jung,Mike Rodriguez,Light Heavyweight,0.5,0.5,0,0,5.0,4.0,4.0,5.0,1,1,1,1,0,1,-4.0,Orthodox,Southpaw
r,Decision - Unanimous,False,Junyong Park,Marc-Andre Barriault,Middleweight,0.41,0.31,5,0,5.133333333333334,3.4,3.4,5.133333333333334,0,0,0,0,1,2,-1.0,Orthodox,Orthodox
r,Decision - Split,False,Kyung Ho Kang,Pingyuan Liu,Bantamweight,0.5,0.47,3,0,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.3333333333333333,2,0,5,2,2,1,1.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Ciryl Gane,Tanner Boser,Heavyweight,0.4,0.3,0,0,4.333333333333333,2.1333333333333333,2.1333333333333333,4.333333333333333,2,1,2,1,0,0,6.0,Orthodox,Orthodox
r,Decision - Unanimous,False,SeungWoo Choi,Suman Mokhtarian,Featherweight,0.5,0.41,0,0,6.333333333333333,2.2,2.2,6.333333333333333,0,0,0,0,2,1,2.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Dong Hyun Ma,Omar Morales,Lightweight,0.26,0.35,0,1,1.0,2.1333333333333333,2.1333333333333333,1.0,0,0,3,0,4,0,-3.0,Orthodox,Orthodox
r,KO/TKO,False,Alexandre Pantoja,Matt Schnell,Flyweight,0.54,0.38,1,0,8.5,5.0,5.0,8.5,0,4,5,4,2,2,-3.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Raoni Barcelos,Said Nurmagomedov,Bantamweight,0.42,0.31,2,0,2.8,3.6666666666666665,3.6666666666666665,2.8,3,2,3,2,0,0,-3.0,Orthodox,Orthodox
b,Submission,False,Miranda Granger,Amanda Lemos,Women's Strawweight,0.5,0.66,0,1,1.3333333333333333,2.6666666666666665,2.6666666666666665,1.3333333333333333,1,0,1,0,0,1,3.0,Orthodox,Southpaw
r,Decision - Split,False,Heili Alateng,Ryan Benoit,Bantamweight,0.35,0.53,4,0,3.1333333333333333,4.533333333333333,4.533333333333333,3.1333333333333333,1,1,1,3,0,3,-2.0,Orthodox,Orthodox
r,KO/TKO,True,Kamaru Usman,Colby Covington,Welterweight,0.48,0.36,0,0,7.291666666666667,5.958333333333333,5.958333333333333,7.291666666666667,10,7,10,10,0,1,4.0,Switch,Orthodox
b,Decision - Unanimous,True,Max Holloway,Alexander Volkanovski,Featherweight,0.44,0.51,0,0,5.36,6.28,6.28,5.36,1,7,17,7,4,0,-2.0,Orthodox,Orthodox
r,Decision - Unanimous,True,Amanda Nunes,Germaine de Randamie,Women's Bantamweight,0.42,0.54,8,0,3.16,1.6,1.6,3.16,9,5,11,6,1,1,-2.0,Orthodox,Orthodox
r,Decision - Split,False,Marlon Moraes,Jose Aldo,Bantamweight,0.43,0.39,1,0,3.933333333333333,3.8666666666666667,3.8666666666666667,3.933333333333333,0,0,4,10,2,4,-3.0,Orthodox,Orthodox
r,KO/TKO,False,Petr Yan,Urijah Faber,Bantamweight,0.5,0.23,2,0,5.4,1.8,1.8,5.4,5,2,5,11,0,6,0.0,Switch,Orthodox
r,KO/TKO,False,Geoff Neal,Mike Perry,Welterweight,0.65,0.5,0,0,15.0,5.0,5.0,15.0,4,0,4,6,0,5,4.0,Southpaw,Orthodox
b,KO/TKO,False,Ketlen Vieira,Irene Aldana,Women's Bantamweight,0.26,0.36,0,0,5.0,6.5,6.5,5.0,4,1,4,4,0,3,0.0,Orthodox,Orthodox
b,Decision - Unanimous,False,Ian Heinisch,Omari Akhmedov,Middleweight,0.51,0.33,3,2,3.533333333333333,3.6666666666666665,3.6666666666666665,3.533333333333333,0,4,2,7,1,3,-1.0,Orthodox,Orthodox
r,KO/TKO,False,Matt Brown,Ben Saunders,Welterweight,0.63,0.52,2,0,3.3333333333333335,1.3333333333333333,1.3333333333333333,3.3333333333333335,1,0,14,9,10,9,-2.0,Orthodox,Orthodox
r,KO/TKO,False,Chase Hooper,Daniel Teymur,Featherweight,0.55,0.33,1,0,5.0,0.5,0.5,5.0,0,1,0,1,0,3,5.0,Southpaw,Orthodox
r,Decision - Unanimous,False,Brandon Moreno,Kai Kara-France,Flyweight,0.32,0.35,0,0,6.066666666666666,5.466666666666667,5.466666666666667,6.066666666666666,0,3,3,3,2,0,1.0,Orthodox,Orthodox
r,Decision - Unanimous,False,Jessica Eye,Viviane Araujo,Women's Flyweight,0.5,0.45,0,2,6.533333333333333,3.7333333333333334,3.7333333333333334,6.533333333333333,0,2,4,2,6,0,-2.0,Orthodox,Orthodox
r,KO/TKO,False,Punahele Soriano,Oskar Piechota,Middleweight,0.59,0.47,1,0,8.666666666666666,2.6666666666666665,2.6666666666666665,8.666666666666666,0,0,0,2,0,2,-4.0,Southpaw,Southpaw
b,KO/TKO,False,Alistair Overeem,Jairzinho Rozenstruik,Heavyweight,0.7,0.42,2,0,3.0833333333333335,3.7083333333333335,3.7083333333333335,3.0833333333333335,2,3,10,3,6,0,2.0,Orthodox,Orthodox
b,KO/TKO,False,Stefan Struve,Ben Rothwell,Heavyweight,0.68,0.57,0,0,5.888888888888889,6.444444444444445,6.444444444444445,5.888888888888889,1,0,13,6,9,6,6.0,Orthodox,Orthodox
